"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","B26000304","W","3800","410 SE 12th Court","CROISSANT PARK ","","$959,990","","3","3","1","2,185","Townhouse","2023","2","No","No","","1,169"
"1","B26021812","W","3160","2110 N Ocean Boulevard Unit#6f","PALMS TOWER TWO CONDO ","","$950,000","","2","2","0","1,604","Condo","2001","1","No","Yes","","0"
"1","F10474827","W","3270","368 NE 7th Avenue","VICTORIA MEWS VICTORIA MEWS","","$950,000","","3","2","1","2,207","Townhouse","1998","2","","No","",""
"1","A11953482","W","3260","936 Intracoastal Dr Unit#7G","CORINTHIAN ON THE INTRACO Corinthian","","$899,000","","2","2","0","¤1,685","Condo","1975","1","","Yes","",""
"1","A11722173","W","3800","200 W Broward Blvd Unit#2007","Natiivo Fort Lauderdale Natiivo Fort Lauderdale","","$831,000","","1","1","","","Condo","2027","2","","No","",""
"1","F10533502","W","3370","801 NE 15th Street","Lauderdale Park 6-33 1/2 ","","$800,000","","3","2","0","1,643","Single","1953","","No","No","","14,158"
"1","B26017667","W","3170","2000 S Ocean Drive Unit#407","Everglades House ","","$799,000","","2","2","0","1,688","Condo","1965","","No","Yes","","0"
"1","B26024809","W","3370","2101 NE 25th Street","CORAL POINT ","","$799,000","","3","3","0","1,867","Single","1954","","Yes","No","","6,998"
"1","F10521028","W","3380","810 14th Court","The L-A-W 80-30 B ","","$795,000","","3","2","0","1,050","Single","1931","0","Yes","No","","8,125"
"1","B26028177","W","","818 SE 4th Street Unit#505","RIVERCREST ","","$789,000","","2","2","0","1,700","Condo","1963","","No","Yes","Penthouse","0"
"1","F10556204","W","3470","1121 SW 2 Court","Waverly Place 2-19 D ","","$789,000","","3","2","1","2,093","Townhouse","2018","1","No","No","","6,250"
"1","A11956794","W","3160","2001 N Ocean Blvd Unit#1002","THE VEU CONDO THE VEU","","$769,900","","2","2","0","¤1,397","Condo","2006","2","","Yes","",""
"1","B26037937","W","3370","1528 NE 28th Drive","MIDDLE RIVER ESTATES ","","$764,000","","3","2","0","1,605","Single","1953","","No","No","Other","7,569"
"1","R11153885","W","3600","2212 SE 4th","LAUDERDALE ","","$751,000","","3","3","0","2,413","Single","1949","2","Yes","No","",""
"1","F10534838","W","3370","1570 NE 30th Place","Coral Brook 37-18 B ","","$749,500","","3","2","0","1,942","Single","1961","0","No","Yes","","6,862"
"1","A11902907","W","3280","319 Coconut Isle Dr","Las Olas Isles ","","$749,000","","5","4","1","¤3,963","Single","2022","2","Yes","Yes","Detached","¤6,250"
"1","F10541080","W","3390","409 NW 27th Street","Babco Heights 43-38 B ","","$749,000","","3","2","0","1,312","Single","1959","","Yes","No","","7,317"
"1","F10551419","W","3160","3020 NE 32nd Avenue Unit#1512","The Tides at Bridgeside S The Tides at Bridgeside S","","$739,000","","2","2","0","1,600","Condo","2005","2","","Yes","","0"
"1","A11911774","W","3160","3101 Bayshore Dr Unit#1701","FORT LAUDERDALE RESIDENCE W Residence","","$729,000","","1","1","0","¤709","Condo","2011","1","","Yes","",""
"1","F10541095","W","3500","600 W Las Olas Boulevard Unit#903S","SYMPHONY SOUTH SYMPHONY SOUTH","","$725,000","","2","2","0","1,348","Condo","2006","1","","Yes","",""
"1","F10544177","W","3480","607 SW 15 Street","Sandy Ashley 127-36 B ","","$715,000","","3","2","0","1,225","Single","1993","1","Yes","No","","3,792"
"1","F10542974","W","3280","347 N New River Drive Unit#310","WATERGARDEN WATERGARDEN","","$709,000","","2","2","0","1,204","Condo","2004","2","","Yes","",""
"1","A11941698","W","3470","1600 SW 9th St","SHERWOOD FOREST ","","$699,750","","3","2","0","¤2,387","Single","1957","0","Yes","No","Detached","¤9,675"
"1","F10541283","W","3500","1604 SW 4th Avenue Unit#N/a","Portofino Portofino","","$699,500","","3","2","1","1,745","Townhouse","2019","2","","No","",""
"1","B26034993","W","3380","1608 NE 14th Terrace","ALLENWOOD ADD NO 2 ","","$679,900","","3","2","0","1,242","Single","1961","","No","No","Substantially Remodeled","7,161"
"1","A11956370","W","3450","2217 NW 4th Ave","HILLBROOK ","","$675,000","","3","3","0","¤1,365","Single","1963","1","Yes","No","Attached","¤10,000"
"1","F10554357","W","3380","1760 NE 13th Street","Lake Ridge 24-47 B ","","$635,000","","4","3","0","1,578","Single","1950","","No","No","","5,253"
"1","F10474895","W","3470","2621 SW 12th Terrace","Devonshire 22-29 B ","","$625,000","","3","2","0","1,394","Single","1951","0","No","No","","6,120"
