"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10544611","CS","3260","2898 NE 26th Street","CORAL RIDGE ","","$8,300,000","$7,250,000","5","5","1","4,690","Single","2009","2","Yes","Yes","","11,515"
"1","F10464865","CS","3260","639 Middle River Dr","Sunrise Intracoastal ","","$8,000,000","$7,200,000","6","6","0","5,990","Single","2010","3","Yes","Yes","","14,351"
"1","R10962225","CS","3280","724 SE 25th Avenue","RIVIERA ","","$7,999,900","$7,500,000","5","5","1","4,451","Single","2023","2","Yes","Yes","","12,500"
"1","F10529932","CS","3160","3031 NE 23rd Ct","Lauderdale Beach Ext ","","$7,995,000","$7,900,000","6","6","1","7,602","Single","1998","3","Yes","Yes","","10,434"
"1","F10492156","CS","3280","2707 Sea Island Dr","Seven Isles ","","$7,995,000","$6,988,000","5","6","1","6,306","Single","2019","2","Yes","Yes","","10,021"
"1","F10460937","CS","3280","2312 Barcelona Dr","Seven Isles ","","$7,950,000","$7,160,000","5","5","1","5,699","Single","2017","3","Yes","Yes","","10,400"
"1","R10972311","CS","3280","633 Coral Way","CORAL ISLES ","","$7,950,000","$7,250,000","6","7","2","6,464","Single","2020","3","Yes","Yes","","10,500"
"1","A11726553","CS","3280","76 Royal Palm Dr","NURMI ISLES ISLAND NO 1 ","","$7,900,000","$7,300,000","5","5","1","¤5,925","Single","2003","4","Yes","Yes","Attached","¤12,000"
"1","F10483949","CS","3600","1737 SE 13 Street","Lauderdale Harbors ","","$7,900,000","$7,050,000","5","5","1","5,254","Single","2018","2","Yes","Yes","","7,700"
"1","F10529025","CS","3280","169 Fiesta Way","NURMI ISLES ISLAND NO 3 ","","$7,750,000","$6,500,000","5","6","0","6,765","Single","2007","3","Yes","Yes","","10,200"
"1","R11150920","CS","3170","4 Isla Bahia Drive","ISLA BAHIA ","","$7,500,000","$7,800,000","5","4","1","5,287","Single","1997","2","Yes","Yes","","12,363"
"1","R11033132","CS","3280","724 Riviera Isle","RIVIERA ISLES ","","$7,500,000","$7,200,000","5","5","1","4,451","Single","2024","2","Yes","Yes","","12,500"
"1","F10529030","CS","3170","1626 E Lake Drive","HARBOR BEACH ","","$7,499,900","$7,135,000","5","6","2","5,550","Single","2025","3","Yes","No","","15,513"
"1","F10419748","CS","3260","2831 NE 26th Ct","Coral Ridge ","","$7,495,000","$6,800,000","5","7","1","5,939","Single","2022","3","Yes","Yes","","12,003"
"1","F10382060","CS","3260","2763 NE 17th St","Coral Ridge 21-50 B ","","$7,495,000","$6,900,000","3","3","1","5,298","Single","1953","2","Yes","Yes","","17,947"
"1","F10439025","CS","3600","1716 SE 9TH ST","RIO VISTA ISLES ","","$7,495,000","$6,950,000","6","5","1","6,186","Single","2005","5","Yes","Yes","","11,250"
"1","F10540398","CS","3280","2412 Delmar Place","Gould Island 15-62 B ","","$7,164,446","$7,164,446","5","7","0","4,758","Single","2025","3","Yes","Yes","","9,000"
"1","F10519263","CS","3600","1637 SE 14th Street","Lauderdale Harbors ","","$7,000,000","$6,350,000","7","6","2","5,765","Single","2024","2","Yes","Yes","","7,700"
"1","B26050095","CS","3280","432 Coconut Isle Drive","Venice 8-12 B ","","$6,999,999","$6,800,000","6","6","2","6,046","Single","2020","3","Yes","Yes","","9,375"
