"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","B26032089","T","3160","3000 E Sunrise Boulevard Unit#14f","CARLTON TOWER CONDO ","","$550,000","","2","2","0","1,202","Condo","1969","","No","No","","0"
"1","F10548682","T","3260","1321 Bayview Drive Unit#4","Casa Bayview II Casa Bayview II","","$549,610","","2","2","1","1,349","Condo","1988","0","","No","",""
"1","F10493858","T","3270","547 NE 7th Avenue Unit#3a","7 EAST CONDO ASSOCIATION I 7 EAST TOWNHOMES","","$535,000","","2","2","1","1,204","Townhouse","1981","","","No","",""
"1","R11162110","T","3600","1819 SE 17th Street Unit#901","PORT CONDO ","","$510,000","","1","1","1","1,384","Condo","2006","1","No","Yes","","0"
"1","F10516212","T","3380","350 SE 2nd Street Unit#2280","350 Las Olas Place 350 Las Olas Place","","$500,000","","1","1","0","847","Condo","2005","1","","No","",""
"1","B26025828","T","3480","1425 SW 19th Avenue","RIVERSIDE ESTATES ADD REV ","","$498,000","","2","2","0","1,302","Single","1955","","No","No","Ranch","7,916"
"1","F10492063","T","3160","2200 NE 33rd Avenue Unit#9D","WHITE EGRET CONDO WHITE EGRET CONDO","","$469,000","","1","1","1","1,103","Condo","1971","1","","Yes","",""
"1","B26013584","T","3490","1110 SW 28th Street","OAK GROVE ","","$451,000","","2","1","0","1,051","Single","1952","","No","No","Ranch","6,981"
"1","F10550594","T","3560","642 NW 14th Way","Lincoln Park Corr 5-2 B ","","$450,000","","5","2","0","1,584","Single","1985","0","No","No","","5,000"
"1","B26001613","T","3160","345 N Fort Lauderdale Beach Boulevard Unit#402","SPRING TIDE APTS CO-OP ","","$449,000","","1","1","0","795","Condo","1958","","No","No","","0"
"1","F10549793","T","3470","1435 SW 5th Court","Riverside Park ","","$449,000","","2","1","0","809","Single","1951","","No","No","","6,303"
"1","F10465430","T","3400","1625 NW 12th Court","Lauderdale Manors ","","$445,000","","3","2","0","1,204","Single","1957","0","No","No","",""
"1","B26039844","T","3280","333 S Sunset Drive Unit#204","FOUR SEASONS CONDO ","","$440,000","","2","2","0","1,600","Condo","1959","","No","No","","0"
"1","B26038723","T","3160","2901 33rd Avenue Unit#1c","TAREYTON CONDO ","","$439,000","","2","2","0","1,040","Condo","1962","","No","No","","0"
"1","F10546627","T","3370","656 Kensington Place Unit#12b","Cypress Cove Cypress Cove","","$430,000","","2","2","1","1,200","Condo","1976","0","","No","",""
"1","R11168105","T","3390","1901 NW 3 Court","Dorsey-riverbend ","","$429,995","","5","2","0","1,546","Single","1954","0","No","No","","10,311"
"1","F10535309","T","3480","1717 SW 12th Court","Shady Banks ","","$425,000","","2","1","0","832","Single","1952","","No","No","","6,600"
"1","F10480136","T","3160","3015 N Ocean Boulevard Unit#4L","BERKLEY SOUTH CONDO BERKLEY SOUTH CONDO","","$414,900","","2","2","0","1,328","Condo","1974","1","","Yes","",""
"1","F10545204","T","3370","608 NE 29th Drive Unit#2","HIGHLAND ESTATES HIGHLAND ESTATES","","$399,900","","2","1","1","1,144","Townhouse","1983","0","","No","",""
"1","F10527390","T","3260","815 Middle River Drive Unit#205","Middle River Villas Middle River Villas","","$384,990","","2","2","0","903","Condo","1979","0","","Yes","",""
"1","A11911617","T","3400","1500 NW 11th Ct","LAUDERDALE MANOR ","","$350,000","","2","2","","¤1,098","Single","1950","1","No","No","Detached","¤8,228"
"1","F10548518","T","3170","1900 S Ocean Drive Unit#611","Breakwater Towers Breakwater Towers","","$325,000","","2","2","0","1,036","Co-Op","1962","0","","No","",""
"1","A12015101","T","3240","1881 Middle River Dr Unit#402","MIDDLE RIVER TOWER CONDO Middle River Tower","","$319,000","","2","2","0","¤1,525","Condo","1970","1","","Yes","",""
"1","B26016387","T","3700","533 NE 3rd Avenue Unit#120","SOLE AT FORT LAUDERDALE CO ","","$315,000","","1","1","0","841","Condo","2005","1","No","No","","0"
"1","B26021391","T","3280","180 Isle Of Venice Drive Unit#331","OASIS-NURMI ISLE CO-OP ","","$308,000","","1","1","0","760","Co-Op","1959","","No","Yes","Substantially Remodeled","0"
"1","F10513852","T","3160","2841 N Ocean Boulevard Unit#1105","VANTAGE VIEW CONDO VANTAGE VIEW CONDO","","$297,000","","2","2","0","1,100","Condo","1976","2","","Yes","",""
"1","B26007527","T","3480","1200 SW 12th Street Unit#310","RIO NUEVO D CONDO ","","$284,995","","2","2","0","1,020","Condo","1968","","No","No","","0"
"1","F10483885","T","3390","333 NW 17th Court Unit#210B","Hidden Harbor Condo Hidden Harbor Condo","","$279,000","","2","2","0","975","Condo","1973","0","","Yes","",""
"1","F10541595","T","3370","1940 NE 2nd Avenue Unit#J218","Manor Grove Village 4 Con Manor Grove Village 4 Con","","$275,000","","2","2","0","1,180","Condo","1973","","","No","","0"
"1","B26008468","T","","1231 SE 1st Street Unit#5","CAPRI WEST CONDO ","","$249,000","","1","1","0","800","Condo","1973","","No","No","Garden Apartment","0"
"1","F10552004","T","3170","1900 S Ocean Drive Unit#404","BREAKWATER TOWERS BREAKWATER TOWERS","","$247,500","","1","1","0","805","Co-Op","1962","0","","No","",""
"1","R11140431","T","3170","1850 S Ocean Drive Unit#213","LAKE MAYAN APTS CO-OP ","","$239,000","","1","1","0","640","Condo","1963","0","Yes","Yes","Garden Apartment",""
"1","F10466725","T","3260","2555 NE 11th Street Unit#103","HORIZON HOUSE HORIZON HOUSE","","$219,900","","1","1","0","710","Condo","1965","0","","No","",""
"1","A11892037","T","3260","2555 NE 11th St Unit#310","HORIZON HOUSE CONDO HORIZON HOUSE CONDO","","$215,000","","1","1","0","¤720","Condo","1965","0","","No","",""
"1","A12048296","T","3600","1405 Miami Rd Unit#29","SEA BREEZE II CONDO Sea Breeze II Condominium","","$215,000","","1","1","0","¤633","Condo","1976","0","","No","",""
"1","B26003785","T","3370","2643 NE 8th Avenue Unit##5","ENCLAVE AT WILTON MANORS ","","$209,000","","1","1","0","500","Condo","1970","","No","No","","0"
"1","F10521238","T","3270","900 NE 18th Avenue Unit#406","Victoria Park Towers Victoria Park Towers","","$200,000","","2","1","0","850","Condo","1970","0","","No","",""
"1","F10542247","T","3260","2900 NE 30th Street Unit#E2","LAUDERDALE TOWER LAUDERDALE TOWER","","$199,000","","0","1","0","440","Condo","1964","0","","Yes","",""
"1","B26006960","T","3390","701 NW 19th Street Unit#408","TENNIS CLUB II COURTS COND ","","$171,500","","1","1","0","682","Condo","1986","","No","No","Substantially Remodeled","0"
"1","F10525804","T","3390","1125 NW 30th Court Unit#5","Wilton Terrace Wilton Terrace","","$159,900","","2","1","0","900","Condo","1964","0","","No","",""
