"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","A11641568","C","3280","324 Coconut Isle Dr","VENICE ","","$5,200,000","","6","6","1","¤5,526","Single","2003","4","Yes","Yes","Detached","¤10,000"
"1","A11938336","C","3380","1332 NE 16th Ter","PROGESSO LAKE RIDGE","","$5,200,000","","12","12","4","¤2,385","Townhouse","2026","4","","No","",""
"1","F10535804","C","3600","1744 SE 9th Street","Rio Vista Isles ","","$5,200,000","","5","5","0","4,159","Single","2011","2","Yes","Yes","","9,375"
"1","R11041109","C","3260","2890 NE 27th Street","CORAL RIDGE GALT ADD NO 1 ","","$5,199,999","","4","3","2","5,046","Single","2001","2","Yes","Yes","Garden Apartment","11,505"
"1","A11776298","C","3280","2340 Aqua Vista Blvd","LAUDERDALE ISLES RE-AMEND ","","$5,175,000","","4","5","","¤3,736","Single","1989","2","Yes","Yes","Detached","¤11,543"
"1","F10508964","C","3260","2890 NE 27th St","Coral Ridge Galt Add 1 ","","$5,000,000","","5","3","2","5,046","Single","2001","2","Yes","Yes","","11,505"
"1","A11629527","C","3160","2401 NE 13 Street","Beach Way Heights ","","$4,999,999","","5","5","1","6,323","Single","2020","4","Yes","No","Attached","11,700"
"1","A11814079","C","3160","2200 N Ocean Blvd Unit#S1801","2200 FORT LAUDERDALE BEAC Auberge Beach Residences","","$4,999,000","","4","5","0","¤3,500","Condo","2018","2","","Yes","",""
"1","A11676379","C","3160","3306 NE 16th St","LAS OLAS BY THE SEA EXT ","","$4,995,000","","5","5","1","¤4,123","Single","2024","2","Yes","No","Attached","¤6,212"
"1","F10441573","C","3160","2100 N Ocean Blvd Unit#16E","The Palms The Palms","","$4,995,000","","4","4","1","4,795","Condo","1999","1","","Yes","",""
"1","A12022668","C","3260","2508 NE 22nd Ter","NORTH BAL HARBOUR ","","$4,995,000","","4","4","","","Single","2026","6","Yes","Yes","Detached","¤8,908"
"1","A11716909","C","3170","1925 Harbourview Dr","HARBOUR HEIGHTS ADD ","","$4,980,000","","4","4","1","¤4,306","Single","1998","2","Yes","Yes","Detached","¤11,690"
"1","A11676411","C","3160","3310 NE 16th St","LAS OLAS BY THE SEA EXT ","","$4,950,000","","5","5","1","4,171","Single","2025","2","Yes","No","Attached","¤6,212"
"1","A11666871","C","3160","3310 NE 16th St","LAS OLAS BY THE SEA EXT ","","$4,950,000","","5","5","1","","Single","2025","2","Yes","No","Detached","¤6,212"
"1","F10534343","C","3470","629 SW 8th Ter","Ft Lauderdale B-40 D ","","$4,950,000","","4","4","0","3,420","Single","1959","3","No","Yes","","23,721"
"1","F10400050","C","3600","1833 SE 7th St","Rio Vista Isles ","","$4,950,000","","4","4","1","3,739","Single","1986","2","Yes","Yes","","7,073"
"1","R11034880","C","3280","2300 Castilla Isle","Lauderdale Shores Reamen ","","$4,940,000","","6","5","1","3,554","Single","1941","0","Yes","Yes","Garden Apartment",""
"1","B26045055","C","3160","3318 NE 17th Street","LAS OLAS BY THE SEA EXT ","","$4,900,000","","5","5","1","3,641","Single","2018","2","Yes","No","","6,237"
