"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10427555","X","3800","100 E Las Olas Blvd Unit#PH4603","100 Las Olas 100 Las Olas","","$10,499,000","","5","6","1","5,281","Condo","2020","4","","No","",""
"1","A11623339","X","3280","300 Royal Plaza Dr","STILWELL ISLES ","","$10,000,000","","7","6","2","¤7,674","Single","2015","3","Yes","Yes","Detached","¤12,506"
"1","F10469271","X","3280","100 E Las Olas Blvd Unit#PH 4603","100 Las Olas 100 Las Olas","","$9,995,000","","5","5","1","5,281","Condo","2022","3","","No","",""
"1","F10484326","X","3600","1730 SE 13th St","Lauderdale Harbors Sec A ","","$9,995,000","","5","5","1","5,950","Single","2024","2","Yes","Yes","",""
"1","A11561882","X","3160","2200 N Ocean Blvd Unit#N605","2200 FORT LAUDERDALE BEAC Auberge Beach","","$9,950,000","","4","4","1","¤3,767","Condo","2018","6","","Yes","",""
"1","F10489231","X","3260","2010 Intracoastal Dr","Coral Ridge North ","","$9,950,000","","6","6","1","5,323","Single","2024","3","Yes","Yes","","10,426"
"1","A11739458","X","3280","300 Royal Plaza Dr","STILWELL ISLES ","","$9,850,000","","7","6","2","¤7,674","Single","2015","3","Yes","Yes","Detached","¤12,506"
"1","F10493638","X","3170","2455 Del Lago Drive","Del Lago Isle 42-2 B ","","$9,800,000","","4","3","1","2,881","Single","1959","2","No","Yes","","15,750"
"1","A11718522","X","3160","525 N Fort Lauderdale Beach Blvd Unit#1701","Four Seasons Four Seasons","","$9,499,000","","4","4","1","¤3,272","Condo","2023","3","","Yes","",""
"1","A11604024","X","3280","2313 E Las Olas Blvd","LAUDERDALE SHORES CORR PL ","","$9,499,000","","6","6","0","5,405","Single","2024","2","Yes","Yes","Detached","¤7,800"
"1","A11522476","X","3280","2312 Barcelona Dr","SEA ISLAND ","","$9,495,000","","5","5","1","¤5,699","Single","2017","3","Yes","Yes","Attached","¤10,400"
"1","F10543890","X","3170","6 Isla Bahia Terrace","Isla Bahia 47-27 B ","","$9,200,000","","4","3","1","2,643","Single","1959","2","Yes","Yes","","13,903"
"1","F10449556","X","3260","2817 NE 25th St","Coral Ridge Galt Add 27-4 ","","$9,000,000","","5","5","2","6,600","Single","2026","3","Yes","Yes","","10,000"
"1","F10531421","X","3170","2530 Lucille Drive","Lucille Island 37-19 B ","","$8,999,000","","4","4","0","5,193","Single","2014","3","Yes","Yes","","11,875"
"1","F10496341","X","3280","169 Fiesta Way","NURMI ISLES ISLAND NO 3 ","","$8,950,000","","5","6","0","6,765","Single","2007","3","Yes","Yes","",""
"1","B26016105","X","3170","2455 Del Lago Drive","DEL LAGO ISLE ","","$8,900,000","","5","5","0","2,881","Single","1964","0","Yes","Yes","Ranch","15,750"
"1","A11723858","X","3160","2200 N Ocean Blvd Unit#N605","2200 FORT LAUDERDALE BEAC Auberge Beach","","$8,800,000","","4","4","1","¤3,767","Condo","2018","6","","Yes","",""
"1","F10503563","X","3260","2898 NE 26th St","CORAL RIDGE ","","$8,800,000","","5","5","1","4,690","Single","2009","2","Yes","Yes","","11,515"
"1","F10424403","X","3280","2701 Aqua Vista Blvd","Sea Island ","","$8,600,000","","4","4","1","4,078","Single","1959","3","Yes","Yes","","12,259"
"1","F10497268","X","3170","1 N Fort Lauderdale Beach Blvd Unit#2302","Ritz Carlton Ritz Carlton","","$8,500,000","","3","3","1","4,056","Condo","2007","3","","Yes","",""
"1","F10404968","X","3260","639 Middle River Dr","Sunrise Intracoastal ","","$8,500,000","","6","6","0","5,990","Single","2010","3","Yes","Yes","","14,351"
"1","F10407636","X","3280","2700 Barcelona Dr.","SEA ISLAND ","","$8,499,000","","5","6","1","6,561","Single","2005","3","Yes","Yes","","18,019"
"1","R11088376","X","3170","3013-3019 Harbor Drive Unit#17e","Riva Residenze ","","$8,300,000","","4","4","1","4,330","Condo","2028","2","No","Yes","","33,583"
"1","F10363848","X","3280","414 Royal Plaza Dr","STILWELL ISLES ","","$8,200,000","","5","5","2","8,110","Single","2010","3","Yes","Yes","","15,000"
"1","A11695657","X","3280","709 Isle Of Palms Dr","STILWELL ISLES ISLES OF P ","","$7,999,999","","5","7","1","¤7,130","Single","2004","0","Yes","Yes","Detached","¤12,999"
"1","A11485690","X","3280","709 Isle Of Palms Dr","STILWELL ISLES ISLES OF P ","","$7,999,999","","6","7","1","¤7,130","Single","2005","0","Yes","Yes","Detached","¤12,999"
"1","F10509276","X","3280","91 Fiesta Way","NURMI ISLES ","","$7,995,000","","7","7","1","6,184","Single","2024","3","Yes","Yes","","10,200"
"1","F10467756","X","3170","1626 E Lake Dr","HARBOR BEACH ","","$7,950,000","","6","6","2","5,541","Single","2025","3","Yes","No","","15,513"
"1","A11633260","X","3170","2537 Lucille Dr","LUCILLE ISLAND ","","$7,950,000","","4","4","0","¤2,998","Single","1958","2","Yes","Yes","Attached","¤11,875"
"1","A11505141","X","3280","76 Royal Palm Dr","NURMI ISLES ISLAND NO 1 ","","$7,900,000","","5","5","1","¤5,925","Single","2002","4","Yes","Yes","Attached","¤12,000"
