"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","B26045733","AC","","411 N New River Drive Unit#3402","LAS OLAS GRAND ","","$1,249,000","","2","2","0","1,630","Condo","2005","1","No","Yes","","0"
"1","B26000803","AC","3260","2549 NE 27th Avenue","CORAL RIDGE GALT ADD ","","$1,235,000","","2","2","0","1,545","Single","1953","1","Yes","No","Ranch","9,735"
"1","A12003048","AC","3470","1704 SW 5th Ct","GILL ISLES ","","$1,200,000","","3","2","0","¤2,083","Single","1970","0","Yes","Yes","Detached","¤7,475"
"1","A11859662","AC","3280","110 Hendricks Isle Unit#13","TERRACES OF THE ISLE COND TERRACES OF THE ISLE","","$1,190,000","","3","3","1","¤2,600","Condo","2004","2","","Yes","",""
"1","F10545686","AC","3280","347 N New River Drive Unit#1401","WATERGARDEN WATERGARDEN","","$1,175,000","","2","2","0","1,615","Condo","2004","2","","Yes","","0"
"1","B26040092","AC","3370","2043 NE 29th Street","CORAL SHORES ","","$1,095,000","","3","2","0","2,038","Single","1954","1","Yes","No","Ranch","7,000"
"1","B26018950","AC","3480","904 Citrus Isle","SOUTH NEW RIVER ISLES SEC ","","$1,000,000","","3","2","1","1,296","Single","1954","","Yes","Yes","","7,420"
"1","A11994420","AC","3170","1578 S Ocean Ln Unit#214","OCEANAGE CONDO Oceanage","","$999,000","","2","2","0","¤1,264","Condo","1973","0","","No","",""
"1","B26044170","AC","3270","302 NE 11th Avenue","STRANAHANS SUB ","","$999,000","","3","2","1","2,045","Townhouse","1996","1","No","No","","2,634"
"1","F10477745","AC","3160","100 S Birch Road Unit#1102C","JACKSON TOWER JACKSON TOWER","","$975,000","","3","2","1","1,990","Condo","2001","2","","Yes","",""
"1","A11934238","AC","3170","2200 S Ocean Ln Unit#2103","POINT OF AMERICAS II Point of Americas","","$975,000","","2","2","0","¤1,258","Condo","1972","1","","Yes","",""
"1","B26046518","AC","3170","1 Las Olas Circle Unit#610","VENETIAN CONDO ","","$949,000","","2","2","0","1,500","Condo","1970","1","No","Yes","Substantially Remodeled","0"
"1","B26033440","AC","3380","1426 NE 17th Avenue","PROGRESSO ","","$949,000","","4","3","0","2,051","Single","1952","","Yes","No","","7,830"
"1","F10549292","AC","3280","347 N New River Drive Unit#301","WATERGARDEN CONDO WATERGARDEN CONDO","","$850,000","","2","2","0","1,615","Condo","2004","2","","Yes","",""
"1","B26031885","AC","3390","2224 NW 6th Terrace","HILLBROOK ","","$849,900","","3","2","0","1,700","Single","1958","","Yes","No","",""
