"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","F10462219","C","3160","2407 NE 33rd Ave","","$1,995,000","3","3,010","I03","1955","8","LAUDERDALE BEACH EXT UNIT","Yes","No",""
"1","F10467011","C","3160","2407 NE 33rd Ave","","$1,985,000","3","3,010","I03","1955","8","Lauderdale Beach Ext","Yes","No",""
"1","F10497643","C","3160","2613-2615 NE 33rd Ave","","$1,750,000","","2,189","I02","1953","4","LAUDERDALE BEACH EXT UNIT","Yes","No",""
"1","A11588521","C","3480","2107 SW 18th Ave","","$1,695,000","","3,616","I02","2024","4","¤OSCEOLA PARK","No","No",""
"1","A11872283","C","3020","811-817 NW 3rd Ave","","$1,675,000","","¤1,032","I04","2022","8","¤PROGRESSO","No","No",""
"1","R11120701","C","3390","934 NW 4th Avenue Unit#1-4","","$1,600,000","4","2,595","","1957","","PROGRESSO","No","No",""
"1","A11976485","C","3470","709 SW 4th Ct","","$1,599,900","","¤3,353","I04","1941","7","BRYAN SUB","No","No",""
"1","A11834563","C","3380","2036 NE 21st Ave","","$1,500,000","","¤2,629","I03","1958","5","¤NORTH RIDGE","No","No",""
"1","A11581568","C","3390","819 NW 1st Ave","","$1,499,999","2","¤2,504","I02","2022","3","¤PROGRESSO","No","No",""
"1","F10430215","C","3130","258 Basin Dr","","$1,495,000","2","1,620","I02","1955","8","Silver Shores-Sub Tr D","No","No",""
"1","R11083059","C","3390","934 NW 4th Avenue Unit#1-4","","$1,495,000","4","2,595","","1957","","PROGRESSO","No","No",""
"1","R11088521","C","3470","1721-1725 SW 11 Court","","$1,495,000","4","3,140","","1966","","Riverside Park","No","No",""
"1","A11832384","C","3600","505 SE 20th St","","$1,490,000","6","","I04","1958","10","None","No","No",""
"1","A11673629","C","3030","1239 NE 15th Ave","","$1,449,000","","¤2,521","I04","1959","5","¤PROGRESSO","No","No",""
"1","A11820383","C","3470","605 SW 14th Ter","","$1,449,000","4","¤2,790","I04","1967","4","¤RIVERSIDE ADD AMEN PLAT","No","No",""
"1","A11583953","C","3370","1106 NE 5th Ave","","$1,425,000","5","¤3,754","I04","1985","7","¤PROGRESSO","No","No",""
"1","A11849993","C","3010","1007 Citrus Isle","","$1,399,000","","¤2,494","I02","1966","6","¤RIO NUEVO ISLE","No","Yes",""
"1","A11759081","C","3280","1213 SE 1st St","","$1,399,000","","¤2,809","I04","1964","4","¤COLEE HAMMOCK","No","No",""
"1","A11801859","C","3390","817-819 NW 1st Ave","","$1,375,000","2","¤2,504","I02","2022","4","¤PROGRESSO","Yes","No",""
"1","A11911327","C","3470","608 SW 16th Ave","","$1,374,000","4","¤4,855","I04","1970","5","¤RIVERSIDE NO 2","No","No",""
"1","A11901653","C","3720","355 NW 32nd St","","$1,350,000","6","¤3,287","I04","1965","8","¤BOULEVARD VILLAS","No","No",""
"1","A11841803","C","3470","605 SW 14th Ter","","$1,349,000","4","¤2,790","I04","1967","4","¤RIVERSIDE ADD AMEN PLAT","No","No",""
"1","F10550207","C","3260","2740 NE 30th Place","","$1,325,000","2","1,791","","1957","","Oakland Ocean Mile Add 29","Yes","No",""
