"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","A11768220","CS","3380","1040 NE 16th Ave","","$930,000","","¤5,097","I03","1978","6","LAKE RIDGE","Yes","No","$930,000"
"1","F10463150","CS","3370","1706 NE 25th St","","$945,000","2","2,451","I02","1959","6","REID TERRACE RESUB","No","No","$945,000"
"1","F10548160","CS","3270","431-433 NE 15 Avenue","","$925,000","2","1,543","","1954","","Las Olas Park Corr 6-12 B","No","No","$925,000"
"1","F10475678","CS","3380","1314-1318 NE 11th St","","$950,000","3","2,120","I03","1955","7","Progresso 2-18 D","No","No","$950,000"
"1","F10468160","CS","3160","2618 NE 32nd Avenue","","$925,000","2","2,365","I02","1958","6","Lauderdale Beach Ext","Yes","No","$925,000"
"1","B26028113","CS","3270","630 NE 17th Way","","$875,000","2","1,822","","1951","","VICTORIA PARK CORR AMEN PL","Yes","No","$875,000"
"1","F10534470","CS","3270","1637 NE 5th Court","","$860,000","2","1,827","","1950","","Middle River Park 5-28 B","No","No","$860,000"
"1","F10531377","CS","3490","1316 SW 9th St","","$800,000","","2,688","","1968","5","Riverside Add Amd 1-13 B","No","No","$800,000"
"1","F10443409","CS","3810","916 NW 3rd Ave","","$825,000","","2,304","I04","1964","4","Progresso 2-18 D","No","No","$825,000"
"1","A11509853","CS","3360","1759-1764 NE 45th St","","$860,000","2","¤2,911","I02","1969","7","¤FLORANADA RIDGE SEC","No","No","$860,000"
"1","F10551451","CS","3380","1145 NE 18th Avenue","","$885,000","2","1,809","","1948","","Progresso 2-18 D","No","No","$885,000"
"1","A11632516","CS","3370","2308 NW 3rd Ave","","$928,750","4","2,508","I04","1965","6","¤BEULALAND","No","No","$928,750"
"1","F10489456","CS","3370","1507 NE 5TH AVE","","$849,000","4","2,825","","1967","5","PROGRESSO","No","No","$849,000"
"1","F10512652","CS","3800","2101 SE 4th Avenue","","$905,000","0","2,844","","1957","","Lauderdale 2-9 D","No","No","$905,000"
"1","F10471763","CS","3270","824 NE 16th Ave","","$900,000","2","1,428","I02","1953","6","Victoria Park","No","No","$900,000"
"1","F10456622","CS","3270","825 N Victoria Park Rd","","$875,000","2","1,428","I02","1952","3","Victoria Park","No","No","$875,000"
"1","B26032242","CS","3380","1539-1541 NE 15th Avenue","","$899,000","3","2,042","","1955","","ALLENWOOD ADD","No","No","$899,000"
"1","F10517369","CS","3480","337 SW 21st St #1-3","","$848,000","3","1,943","I03","1951","3","Lauderdale 2-9 D","No","No","$848,000"
"1","F10479230","CS","3500","520 SW 5th Avenue","","$840,000","2","1,568","","1935","","Ft Lauderdale B-40 D","No","No","$840,000"
"1","A11902303","CS","3370","1400 NE 21ST STREET","","$897,000","2","2,040","I02","1961","4","Edgewater Estates 1","Yes","Yes","$897,000"
"1","A11943942","CS","3460","922 NW 4th Ave","","$890,000","4","¤2,595","I04","1958","4","¤PROGRESSO","No","No","$890,000"
"1","A11842325","CS","3600","1905 Miami Rd","","$816,000","4","¤2,768","I04","1969","6","¤EVERGLADE LAND SALES CO","No","No","$816,000"
"1","F10505667","CS","3800","420 SE 18th Ct","","$835,000","","2,448","I03","2009","7","Croissant Park 4-28 B","No","No","$835,000"
"1","F10552163","CS","3380","2000 NE 18th Street","","$849,000","2","1,933","","1953","","Lauder-Gate 26-48 B","No","No","$849,000"
"1","A11878574","CS","3370","105 - 107 NE 30th Ct #1 & 2","","$825,000","2","","I02","1971","6","¤ALMAR ESTATES RESUB","No","No","$825,000"
"1","F10461321","CS","3260","2016 NE 14th Ct","","$700,000","2","2,232","I02","1956","3","Lauder Gate Isles 28-17 B","No","No","$700,000"
"1","F10498620","CS","3360","3693 NE 20th Ave #1-2","","$868,000","2","2,720","I02","1963","6","Coral Woods 33-25 B","Yes","No","$868,000"
"1","A11940088","CS","3450","700 NW 18th St","","$790,000","2","¤2,024","I02","1984","6","¤PROGRESSO","No","No","$790,000"
"1","A11792764","CS","3810","725 NW 4th Ave","","$800,000","4","¤2,543","I04","1962","4","¤PROGRESSO","No","No","$800,000"
"1","F10479407","CS","3260","2018 NE 15th St","","$830,500","","1,627","I02","1958","8","Lauder Gate Isles 28-17 B","No","Yes","$830,500"
"1","A11916973","CS","3370","1408 NE 24th St","","$830,000","2","¤2,268","I02","1987","8","¤MIDDLE RIVER PLAZA","Yes","No","$830,000"
"1","A11937381","CS","3850","1471 NW 22nd St","","$805,000","4","¤2,997","I04","1976","6","¤FT LAUDERDALE ESTATES 1ST","No","No","$805,000"
"1","F10489153","CS","3380","1700 NE 16th Ave","","$768,000","2","1,433","I02","1952","2","Progresso 2-18 D","Yes","No","$768,000"
"1","A11619322","CS","3470","809 SW 14th Ter","","$900,000","","¤1,760","I02","1926","4","¤RIVERSIDE ADD AMEN PLAT","Yes","No","$900,000"
"1","A11611871","CS","3470","417 SW 12th St","","$850,000","2","¤2,552","I02","1948","5","¤CROISSANT PARK RIVER SEC","No","Yes","$850,000"
"1","F10448933","CS","3720","499 NW 42nd St","","$765,000","","3,500","I04","1969","10","Prospect Gardens 22-26 B","No","No","$765,000"
"1","A11683603","CS","3600","880 SE 12th St","","$900,000","3","¤2,550","I03","1980","5","¤EVERGLADE LAND SALES CO","No","No","$900,000"
"1","F10550162","CS","3370","2608 NE 10th Avenue","","$832,500","2","1,780","","1972","","Amadale 29-6 B","No","No","$832,500"
"1","A11622304","CS","3480","824 SW 12th Ct","","$815,000","","¤2,866","I02","1968","4","¤ISLAND VIEW","No","No","$815,000"
"1","F10505641","CS","3500","319 SW 12th Ct","","$825,000","3","2,211","I03","1951","6","Croissant Park South Rive","No","No","$825,000"
"1","A11723168","CS","3810","831 NW 1st Ave","","$790,000","","¤2,423","I04","1974","5","¤PROGRESSO","No","No","$790,000"
"1","A11915976","CS","3460","1132 NW 2nd St","","$775,000","4","¤2,348","I04","1961","4","¤SEMINOLE ADD F R OLIVERS","No","No","$775,000"
"1","A11899678","CS","3470","1004 W Las Olas Blvd","","$785,000","","¤1,526","I03","1951","5","¤WAVERLY PLACE","No","No","$785,000"
"1","A11729006","CS","3450","3621-3641 NE 11th Ave","","$745,000","3","¤2,168","I03","1980","6","¤OAKLAND PARK SECOND ADD","No","No","$745,000"
"1","F10444433","CS","3390","1032 NW 3rd Ave","","$4,882,500","4","2,480","I04","1969","5","Progresso 2-18 D","No","No","$4,882,500"
"1","F10493397","CS","3400","1901 NW 14th Ave","","$810,000","","2,358","I03","1973","5","Ft Lauderdale Estates 76-","No","No","$810,000"
"1","F10480113","CS","3470","1212 Middle St","","$775,000","3","1,602","I03","1959","8","Waverly Place 2-19 D","No","No","$775,000"
"1","F10554023","CS","3480","909 SW 16th Street","","$760,000","2","2,562","","1970","","Mandarin Isle Add 69-13 B","No","No","$760,000"
"1","R11026249","CS","3370","1735 NE 2 Avenue","","$800,000","2","2,769","I02","1975","","South Middle River","No","Yes","$800,000"
"1","R11123082","CS","3380","1111 N Victoria Park Road Unit#1-4","","$800,000","3","2,402","","1947","","Victoria Park","No","No","$800,000"
"1","F10477472","CS","3480","808-810 SW 12th Ct","","$800,000","2","2,426","I02","1967","4","Island View 33-2 B","No","No","$800,000"
"1","R11001039","CS","3370","812 NE 17th Street Unit#1-3","","$825,000","3","1,967","I03","1967","","LAUDERDALE PARK 6-33 1/2","No","No","$825,000"
"1","F10465975","CS","3270","420 NE 15th Ave","","$715,000","2","1,100","I02","1941","4","Las Olas Park Corr 6-12 B","No","No","$715,000"
"1","A11809897","CS","3280","1215-1217 NE 16th Ave","","$770,000","2","¤2,210","I02","1958","4","¤PROGRESSO","No","No","$770,000"
"1","F10497384","CS","3360","3360 NE 17th Ave","","$750,000","","2,010","I02","1967","5","Stephens Square 45-35 B","Yes","No","$750,000"
"1","R11054711","CS","3360","1711 NE 45th Street","","$715,000","2","3,070","I02","1968","","FLORANADA RIDGE SEC","Yes","No","$715,000"
"1","F10502941","CS","3380","1401-1403 NE 13th St","","$750,000","2","2,316","I02","1952","5","Progresso 2-18 D","Yes","No","$750,000"
"1","F10498539","CS","3390","501 NW 25th St","","$770,000","2","1,907","I02","1955","6","Mickels 2nd Add To Wilton","No","No","$770,000"
"1","F10509743","CS","3470","520 SW 6th Ave 1-2","","$765,000","2","1,600","I02","1972","6","RESUB BLK 36 FT LAUDERDAL","Yes","No","$765,000"
"1","A11605909","CS","3260","2000 NE 17th Ct","","$660,000","2","¤2,120","I02","1953","2","Lauder-Gate","No","No","$660,000"
"1","F10499617","CS","3240","1109 NE 6th Ave","","$755,000","3","2,430","I03","1973","6","PROGRESSO","No","No","$755,000"
"1","F10543236","CS","3360","1623-1625 NE 45th St","","$750,000","2","2,810","","1967","4","Floranada Ridge Sec A 30-","No","No","$750,000"
"1","A11600233","CS","3380","1621 NE 16th Ter","","$615,000","","¤2,342","I02","1955","4","¤PROGRESSO","No","No","$615,000"
"1","F10450529","CS","3390","1619 NE 25th St","","$775,000","3","1,672","I03","1956","5","Manor Square 38-47 B","No","No","$775,000"
"1","A11726125","CS","3560","1210 NW 2nd St","","$765,000","","¤2,183","I04","1965","5","¤SEMINOLE FOREST","No","No","$765,000"
