"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1001","R11062573","CS","5940 Florida Other","204 Glasgow Street","$11,500","0.4600","","1/4 To Less Than 1/2 Acre Lot","RES","INTERLACHEN LAKES ESTATES","","No","","Unimproved Agri/Recreatn/Moblhome","$11,500"
"1001","R11090992","CS","5940 Florida Other","178 Millican Road","$12,200","0.2600","","1/4 To Less Than 1/2 Acre Lot","RES","RIO DE ST JOHNS","","No","","Unimproved Agri/Recreatn/Moblhome","$12,200"
"1001","F10540538","CS","5940 Florida Other","0 County Rd 54","$12,500","1.2500","56,192","1 To Less Than 2 Acre Lot","RDA","Rancho Bonito RB79","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$12,500"
"1001","A11927965","CS","5940 Florida Other","2707 N Seneca Dr","$9,500","0.2500","","","","Avon Park Lakes","","No","Zoned Residential","Residential","$9,500"
"1001","F10539214","CS","5940 Florida Other","0 Old Grade Road","$12,500","1.0000","43,560","1 To Less Than 2 Acre Lot","Corex","Opp176 Orlando Pines","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$12,500"
"1001","F10522727","CS","5940 Florida Other","0 Akron Street","$12,500","0.2200","9,583","","R2","Lake Lucy Village","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$12,500"
"1001","F10521056","CS","5940 Florida Other","127 Sharon Drive","$12,500","0.3200","13,939","1/2 To Less Than 3/4 Acre Lot","","St. John’s Riverside Estat","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$12,500"
"1001","R11102536","CS","5940 Florida Other","0 State Rd 60","$12,750","0.2100","","Less Than 1/4 Acre Lot","RESIDENTIAL","CENTRAL ACRES","County Road","No","","Unimproved Agri/Recreatn/Moblhome","$12,750"
"1001","R11109182","CS","5940 Florida Other","Tbd Holly Springs","$12,300","1.2900","","1 To Less Than 2 Acre Lot, Corner Lot","RES","COMPASS LAKE HILLS","","No","","Unimproved Agri/Recreatn/Moblhome","$12,300"
"1001","A11962864","CS","5940 Florida Other","0 DUNFORD CIR","$12,000","0.9200","39,900","","","PARADISE LAKES","","No","Zoned Residential","Residential","$12,000"
"1001","F10540435","CS","5940 Florida Other","1 Sarasota Drive","$10,000","0.5213","","1/2 To Less Than 3/4 Acre Lot","","Indian Lake Estates","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$10,000"
