"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1","A11959705","X","3411","00 NE 43rd St","$349,900","0.1500","6,246","","¤RM-16","FLORANADA CENTER","","No","Zoned Multifamily","Residential",""
"1","F10413265","X","3690","2323 W State Road 84","$345,000","0.0800","1,674","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","A11695068","X","3540","9 Nw Ct","$325,000","0.1600","7,284","","¤RD-15","LAUDERDALE HOMESITES","","No","Zoned Duplex","Residential",""
"1","F10413238","X","3690","2323 W State Road 84","$325,000","0.0500","1,705","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","A11699255","X","3390","1445 NW 7th Ter","$315,000","0.2300","10,134","","¤RDS-15","PROGRESSO","","No","Zoned Multifamily","Residential",""
"1","F10482463","X","3350","1375 NE 40th Ct","$299,000","0.1100","5,041","Less Than 1/4 Acre Lot","R-1","Central Corals","Paved Road","No","Zoned Residential","Residential",""
"1","F10519043","X","3370","1110 NE 5th Avenue","$299,000","0.0780","3,376","","Resident","PROGRESSO","Public Road","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10548538","X","3370","1110 NE 5th Avenue","$259,000","0.0780","3,376","","Resident","PROGRESSO","Public Road","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","A11701016","X","3550","1031 NW 21st St","$250,000","8,267.0000","8,267","Corner Lot","¤RS-8","HILLMONT MIDDLE RIVER VIS","Legal Access Road, City/County Maintained, Other Road","Yes","Zoned Residential","Residential",""
"1","A11533254","X","3570","636 NW 12th Ave","$240,000","0.0000","6,750","","¤RMM-25","PROGRESSO","","No","Zoned Multifamily","Other",""
"1","R11139271","X","3600","1801 SE 17 Street","$218,990","","","East Of US 1","B1","The Port Marina","City/County Maintained, Paved Road, Public Road","Yes","","",""
"1","R11107414","X","3560","1602 Lauderdale Manor Drive","$210,000","0.1281","","Less Than 1/4 Acre Lot","RS-8","LAUDERDALE MANORS REVISED ","Public Road","No","","Unimproved Agri/Recreatn/Moblhome",""
"1","F10482984","X","3460","TBD NW 15th Way","$200,000","0.2590","11,300","","RS-8","Dorsey Park First Add 21-","","No","Zoned Residential","Residential",""
"1","F10443921","X","3560","2630 NW 20th Ave","$199,000","0.2000","9,008","Less Than 1/4 Acre Lot","R-1","Gedeon Sub 21-24 B","Other Road","No","Zoned Residential","Residential",""
"1","A11580538","X","3400","628 NW 22nd Rd","$177,000","0.0660","5,014","","¤CB","WASHINGTON PARK","","No","Zoned Multifamily","Other",""
"1","F10465008","X","3560","0 NW 7th Court","$140,000","0.0000","5,501","","RS-6","Washington Park Third Add","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","A11760660","X","3050","600-610 Las Olas Blvd","$125,000","0.0000","","Zero Lot Line Lot","0000","Symphony Condominuim","City/County Maintained, Private Road","Yes","Boat Dock or Dockominium","Dockominium",""
"1","A11746022","X","3400","628 NW 22nd Rd","$125,000","0.0660","5,014","","¤CB","WASHINGTON PARK","","No","Zoned Multifamily","Other",""
"1","F10426858","X","3690","2323 W State Road 84","$10,000","21.7000","862,176","Less Than 1/4 Acre Lot","B-2","Yacht Haven","Paved Road","Yes","Boat Dock or Dockominium","Dockominium",""
"1","R11054331","X","3280","516 Royal Plaza Drive","$7,500","0.0021","","1/4 To Less Than 1/2 Acre Lot","","STILWELL ISLES","","Yes","","",""
"1","R10995784","X","3260","1335 Seminole Drive Unit#1335","$5,000","","","Less Than 1/4 Acre Lot, Cul-De-Sac Lot","RS-4.4","BEACH WAY HEIGHTS UNIT","City/County Maintained","Yes","","",""
"1","A11738599","X","3500","65 Hendricks Isle","$1,400","0.0000","","Other Lot Description","¤RMM-25","VISTA DEL SOL CONDO BOAT","Public Road","Yes","Boat Dock or Dockominium","Dockominium",""
"1","A11797609","X","3450","322 Hendricks Isle","$1,100","0.0000","6,250","Less Than 1/4 Acre Lot","¤RMM-25","VICTORIA ISLES","Paved Road, Private Road","Yes","Boat Dock or Dockominium","Other",""
"1","A11609092","X","3280","76 Isle of Venice DOCK 4","$750","0.0000","","Less Than 1/4 Acre Lot","COOPERATIVE","NURMI ISLES ISLAND NUMBER","Public Road","Yes","Boat Dock or Dockominium","Other",""
"1","F10506482","X","3260","1821 Middle River Drive","$500","0.5000","","Less Than 1/4 Acre Lot","","Coral Ridge","City/County Maintained, Paved Road","Yes","Boat Dock or Dockominium","Dockominium",""
"1","R11106162","X","3470","1733 SW 5 Court","$500","","","Less Than 1/4 Acre Lot","RES","GILL ISLES","City/County Maintained","Yes","","",""
