"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1","A12052219","A","3600","1642 SE 14th St","$2,650,000","0.1800","7,700","","¤RS-8","LAUDERDALE HARBORS SECTIO","","Yes","Zoned Residential","Residential",""
"1","F10531641","A","3130","4433 Poinciana Street","$2,593,080","0.3571","15,555","1/4 To Less Than 1/2 Acre Lot","RM-25","LAUDERDALE BY THE SEA","","No","Zoned Multifamily","Unimproved Agri/Recreatn/Moblhome",""
"1","A12016820","A","3480","1321 mandarin isle","$2,550,000","0.2500","","1/4 To Less Than 1/2 Acre Lot","","Citrus Isles","","Yes","Zoned Residential","Residential",""
"1","B26013595","A","3240","5320 NE 32nd Avenue","$2,495,000","0.2380","","Less Than 1/4 Acre Lot, Less Than 1 Acre","RS-8","LANDINGS FIRST SEC","","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1","F10550414","A","3160","2930 Center Avenue","$2,390,000","0.1360","5,952","Less Than 1/4 Acre Lot, East Of US 1","RS-8","Lauderdale Beach 4-2 B","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10537030","A","3470","1136 Pina Del Rio","$1,949,000","0.3300","","","","RiverSound","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","A11918277","A","3240","1501 NE 26th Ave","$1,935,000","0.2700","11,821","","¤RM-15","CORAL RIDGE","Legal Access Road","No","Zoned Residential","Residential",""
"1","B26048481","A","3470","333 SW 14th Way","$1,650,000","0.0300","","Less Than 1/4 Acre Lot, Less Than 1 Acre","RS-8","RIVER HIGHLANDS","Paved Road, Private Road","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1","F10555433","A","3550","2014 NW 28th Street","$1,575,000","0.0000","14,998","","R-1","Middle River Gardens 22-4","Gravel/Lime Rock Road","No","Zoned Multifamily","Unimproved Agri/Recreatn/Moblhome",""
"1","F10519940","A","3370","1100 NE 23rd Drive","$1,450,000","0.3200","14,153","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","B-2","Wilton Manors","City/County Maintained, Paved Road","No","Zoned Multifamily","Unimproved Agri/Recreatn/Moblhome",""
"1","B26021643","A","3500","638 SW 4th Avenue","$1,350,000","0.1435","","Less Than 1/4 Acre Lot, Less Than 1 Acre","RAC-SMU","FT LAUDERDALE B-40","","No","","Unimproved Agri/Recreatn/Moblhome",""
"1","A12024087","A","3360","1816-1818 Middle River Dr","$1,290,000","9,776.0000","4,184","","¤RC-15","LIVERMORE ESTATES","","No","Zoned Duplex","Other",""
