"PERIOD_BEGIN"	"PERIOD_END"	"PERIOD_DURATION"	"REGION_TYPE"	"REGION_TYPE_ID"	"TABLE_ID"	"IS_SEASONALLY_ADJUSTED"	"REGION"	"CITY"	"STATE"	"STATE_CODE"	"PROPERTY_TYPE"	"PROPERTY_TYPE_ID"	"MEDIAN_SALE_PRICE"	"MEDIAN_SALE_PRICE_MOM"	"MEDIAN_SALE_PRICE_YOY"	"MEDIAN_LIST_PRICE"	"MEDIAN_LIST_PRICE_MOM"	"MEDIAN_LIST_PRICE_YOY"	"MEDIAN_PPSF"	"MEDIAN_PPSF_MOM"	"MEDIAN_PPSF_YOY"	"MEDIAN_LIST_PPSF"	"MEDIAN_LIST_PPSF_MOM"	"MEDIAN_LIST_PPSF_YOY"	"HOMES_SOLD"	"HOMES_SOLD_MOM"	"HOMES_SOLD_YOY"	"PENDING_SALES"	"PENDING_SALES_MOM"	"PENDING_SALES_YOY"	"NEW_LISTINGS"	"NEW_LISTINGS_MOM"	"NEW_LISTINGS_YOY"	"INVENTORY"	"INVENTORY_MOM"	"INVENTORY_YOY"	"MONTHS_OF_SUPPLY"	"MONTHS_OF_SUPPLY_MOM"	"MONTHS_OF_SUPPLY_YOY"	"MEDIAN_DOM"	"MEDIAN_DOM_MOM"	"MEDIAN_DOM_YOY"	"AVG_SALE_TO_LIST"	"AVG_SALE_TO_LIST_MOM"	"AVG_SALE_TO_LIST_YOY"	"SOLD_ABOVE_LIST"	"SOLD_ABOVE_LIST_MOM"	"SOLD_ABOVE_LIST_YOY"	"PRICE_DROPS"	"PRICE_DROPS_MOM"	"PRICE_DROPS_YOY"	"OFF_MARKET_IN_TWO_WEEKS"	"OFF_MARKET_IN_TWO_WEEKS_MOM"	"OFF_MARKET_IN_TWO_WEEKS_YOY"	"PARENT_METRO_REGION"	"PARENT_METRO_REGION_METRO_CODE"	"LAST_UPDATED"
"2022-02-01"	"2022-04-30"	90	"neighborhood"	1	132004	false	"Fort Lauderdale, FL - Bay Colony Club"	"Fort Lauderdale"	"Florida"	"FL"	"Condo/Co-op"	3	345000	0	0.2234042553	NA	NA	NA	287.5	0	0.2234042553	NA	NA	NA	1	0	-0.6666666667	1	0	-0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	266	0	69	0.9859959989	0	0.01649483894	0	0	0	NA	NA	NA	0	0	-0.25	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2023-12-01"	"2024-02-29"	90	"neighborhood"	1	141476	false	"Fort Lauderdale, FL - River Run"	"Fort Lauderdale"	"Florida"	"FL"	"Single Family Residential"	6	560000	0.1202240448	0.417721519	530000	-0.06269343001	0.06639839034	377.523156847	-0.02655061177	0.1707996636	361.147402642	-0.1629272699	-0.1912542546	2	1	1	2	1	0	4	0	1	3	0	2	NA	NA	NA	69	57	59	0.9992448397	-0.0007551602618	0.03583020559	0	0	0	NA	NA	NA	0.5	0.5	0	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2013-11-01"	"2014-01-31"	90	"neighborhood"	1	141476	false	"Fort Lauderdale, FL - River Run"	"Fort Lauderdale"	"Florida"	"FL"	"Single Family Residential"	6	157000	0.1764705882	0.4272727273	160000	NA	-0.170984456	110.417666827	0.001697820796	-0.01226378039	126.511954993	NA	-0.1388318235	5	0.25	4	5	0.25	4	3	NA	NA	4	0.3333333333	NA	NA	NA	NA	141	85.5	NA	0.9673581625	0.002395423086	-0.2295950475	0.2	-0.05	-0.8	NA	NA	NA	0.2	0.2	0.2	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2014-02-01"	"2014-04-30"	90	"neighborhood"	1	55870	false	"Fort Lauderdale, FL - Flamingo Park"	"Fort Lauderdale"	"Florida"	"FL"	"Single Family Residential"	6	120500	0.5855263158	0.09545454545	149900	-0.1625698324	0.2246732026	110.042735043	0.07291666667	0.08091821367	138.566416527	-0.2258859412	0.2544365472	2	1	0	9	0.8	3.5	8	-0.1111111111	NA	3	-0.5714285714	-0.5	NA	NA	NA	55.5	48.5	-48.5	1.084615385	-0.08461538462	0.1665750916	0.5	-0.5	0.5	NA	NA	NA	0.1111111111	-0.08888888889	0.1111111111	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2014-06-01"	"2014-08-31"	90	"neighborhood"	1	129196	false	"Fort Lauderdale, FL - Harbordale"	"Fort Lauderdale"	"Florida"	"FL"	"Condo/Co-op"	3	198000	-0.12	0.2375	179000	0	0.02344196684	217.391304348	-0.07773386034	0.112934099	231.666666667	0.2479281768	0.09785809906	5	0	-0.2857142857	4	-0.3333333333	-0.6	13	0.4444444444	0	12	0.2	-0.4	NA	NA	NA	41	-86	13	0.9384293664	-0.02596288242	-0.02152880525	0	-0.2	0	NA	NA	NA	0.25	0.08333333333	0.05	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2014-12-01"	"2015-02-28"	90	"neighborhood"	1	135255	false	"Fort Lauderdale, FL - Bay Colony"	"Fort Lauderdale"	"Florida"	"FL"	"Single Family Residential"	6	1500000	0	-0.7	3750000	0	0.02880658436	316.656111463	0	-0.4157061431	469.90914787	0	-0.2227483532	1	0	0	1	0	0	3	0	2	4	0	NA	NA	NA	NA	96	0	-80	0.9683666882	0	0.1280305537	0	0	0	NA	NA	NA	0	0	0	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2020-11-01"	"2021-01-31"	90	"neighborhood"	1	55674	false	"Fort Lauderdale, FL - River Oaks"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	295000	0	0.1752988048	429900	0	0.3867741935	236.611150484	0.001424786282	0.3256976707	217.563291139	-0.3193629721	0.003616636528	16	0.2307692308	0.4545454545	12	-0.1428571429	-0.07692307692	7	-0.4615384615	-0.2222222222	7	-0.2222222222	-0.5	NA	NA	NA	40	12	-31	0.9553953433	-0.003911736516	0.003920170317	0	0	-0.09090909091	NA	NA	NA	0.1666666667	-0.2619047619	0.08974358974	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2018-12-01"	"2019-02-28"	90	"neighborhood"	1	56070	false	"Fort Lauderdale, FL - Lake Ridge"	"Fort Lauderdale"	"Florida"	"FL"	"Townhouse"	13	407500	-0.185	-0.006097560976	647000	0.1453354576	0.4409799555	199.004808313	-0.09970224719	-0.07323591346	320.77342588	0.2672813325	0.451181881	2	1	0	3	0.5	0.5	1	-0.8333333333	-0.6666666667	10	0	1	NA	NA	NA	131	-16	90.5	0.9745682706	0.003692598981	0.009578667002	0	0	0	NA	NA	NA	0	0	0	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2014-04-01"	"2014-06-30"	90	"neighborhood"	1	135255	false	"Fort Lauderdale, FL - Bay Colony"	"Fort Lauderdale"	"Florida"	"FL"	"Condo/Co-op"	3	154000	-0.1444444444	NA	174900	-0.1254562728	NA	128.333333333	-0.1444444444	NA	145.75	-0.1254562728	NA	3	2	NA	4	0.3333333333	NA	3	0	NA	4	0	NA	NA	NA	NA	189	0	NA	0.9426455829	-0.01023954152	NA	0	0	NA	NA	NA	NA	0	0	NA	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2019-05-01"	"2019-07-31"	90	"neighborhood"	1	55986	false	"Fort Lauderdale, FL - Bermuda Riviera"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	1398000	-0.12625	6.169230769	1096500	0	0.2787917663	369.942196532	0	0.3524768475	425.044846709	0	0.05655377035	3	2	0	3	0	0	4	0	1	8	-0.2	0.3333333333	NA	NA	NA	94	-11	-41	0.9306564753	0.02567909972	-0.03292070937	0	0	0	NA	NA	NA	0.3333333333	0	0.3333333333	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
