status,neighborhood,ptype,list_price,sqft,ask_ppsf,pred_ppsf,gap_pct,waterfront,flag
Active,Beach Shore Apts Co Op,Condo,230000.0,748.0,307.0,423.0,-27.3,False,Underpriced
Pending,Dorsey Park First,Single Family,479900.0,1600.0,300.0,412.0,-27.2,False,Underpriced
Active,Las Olas,Condo,285000.0,808.0,353.0,484.0,-27.2,False,Underpriced
Active,Leisure Sands,Condo,224500.0,690.0,325.0,447.0,-27.2,False,Underpriced
Active,Rio Vista,Single Family,3400000.0,4150.0,819.0,1126.0,-27.2,False,Underpriced
Active,Gateway Arms,Condo,199900.0,800.0,250.0,343.0,-27.1,False,Underpriced
Pending,Tides Bridgewater,Condo,549000.0,1170.0,469.0,643.0,-27.1,True,Underpriced
Active,Victoria Park,Single Family,2200000.0,3276.0,672.0,919.0,-27.0,False,Underpriced
Active,Ft Lauderdale Land Dev,Townhouse,515000.0,1650.0,312.0,428.0,-27.0,False,Underpriced
Active,Harwick House,Condo,220000.0,670.0,328.0,450.0,-27.0,False,Underpriced
Active,Caravel Condominium,Condo,187000.0,900.0,208.0,284.0,-26.9,False,Underpriced
Active,Tarpon River,Single Family,1425000.0,2556.0,558.0,763.0,-26.9,True,Underpriced
Active,Marina Del Mar,Condo,189000.0,670.0,282.0,385.0,-26.8,True,Underpriced
Active,Lauderdale Tower Condos,Condo,344500.0,1040.0,331.0,452.0,-26.7,True,Underpriced
Active,Breakwater Towers Co Op,Condo,319000.0,1036.0,308.0,420.0,-26.6,False,Underpriced
Active,Marine Tower,Condo,490000.0,1706.0,287.0,391.0,-26.6,True,Underpriced
Active,South Coral Point,Single Family,1595000.0,2851.0,559.0,760.0,-26.4,True,Underpriced
Active,Manor Grove Village One In,Condo,259000.0,1180.0,219.0,298.0,-26.4,False,Underpriced
Active,Croissant Park,Single Family,820000.0,2416.0,339.0,461.0,-26.4,False,Underpriced
Pending,Las Olas,Condo,479900.0,1346.0,357.0,483.0,-26.2,False,Underpriced
Active,Hendricks Heights,Single Family,889000.0,2236.0,398.0,539.0,-26.2,False,Underpriced
Active,Harbor View Apts Harbor View,Condo,289900.0,966.0,300.0,406.0,-26.1,True,Underpriced
Pending,Dorsey Park Second,Single Family,530000.0,1410.0,376.0,509.0,-26.1,False,Underpriced
Active,Marina Del Mar,Condo,294000.0,1070.0,275.0,371.0,-26.0,True,Underpriced
Active,Las Olas,Condo,285000.0,793.0,359.0,486.0,-26.0,False,Underpriced
Pending,River Reach,Condo,199900.0,900.0,222.0,300.0,-25.9,True,Underpriced
Pending,Hillmont Middle River Vis,Single Family,349500.0,1406.0,249.0,335.0,-25.9,False,Underpriced
Active,Ocean Resort Residences,Condo,449000.0,730.0,615.0,829.0,-25.8,True,Underpriced
Active,Club Resort Residence Hilton,Condo,625000.0,1308.0,478.0,644.0,-25.8,True,Underpriced
Active,Manor Grove Village,Condo,169000.0,750.0,225.0,302.0,-25.5,False,Underpriced
Active,Crossroads,Condo,250000.0,960.0,260.0,349.0,-25.4,False,Underpriced
Active,Nuriver Landing,Condo,472000.0,1246.0,379.0,507.0,-25.2,True,Underpriced
Pending,Highland Estates,Townhouse,600000.0,2294.0,262.0,349.0,-25.1,False,Underpriced
Active,Manor Grove Village One In,Condo,155000.0,750.0,207.0,275.0,-25.0,False,Underpriced
Pending,Terraces Isles Cond Terraces Isles,Condo,1190000.0,2600.0,458.0,609.0,-24.9,True,Underpriced
Active,Bayshore Embassy,Condo,324900.0,1000.0,325.0,432.0,-24.8,False,Underpriced
Active,Quarterdeck Condominium,Condo,309000.0,1008.0,307.0,408.0,-24.8,True,Underpriced
Active,Club Resort Residences,Condo,345000.0,906.0,381.0,506.0,-24.8,False,Underpriced
Active,Holmberg Mc Kees,Single Family,3100000.0,3880.0,799.0,1061.0,-24.7,False,Underpriced
Pending,Everglades House,Condo,669900.0,1688.0,397.0,526.0,-24.6,True,Underpriced
Active,Gallery One,Condo,95000.0,470.0,202.0,268.0,-24.5,True,Underpriced
Active,Beach Shore Apts Co Op,Condo,239000.0,748.0,320.0,423.0,-24.5,False,Underpriced
Active,Maya Marca,Condo,645000.0,1609.0,401.0,531.0,-24.5,True,Underpriced
Active,Everglades House,Condo,499000.0,1205.0,414.0,549.0,-24.5,True,Underpriced
Pending,Victoria Highlands,Single Family,1688000.0,3011.0,561.0,742.0,-24.5,False,Underpriced
Active,Berkley South,Condo,309000.0,1328.0,233.0,308.0,-24.4,False,Underpriced
Active,Venezia,Condo,1899000.0,4120.0,461.0,610.0,-24.4,True,Underpriced
Active,Gallery One,Condo,109000.0,548.0,199.0,263.0,-24.4,True,Underpriced
Active,Le Club International Cond,Condo,1250000.0,2630.0,475.0,628.0,-24.4,True,Underpriced
Active,Pine Crest Village Ii,Condo,320000.0,1280.0,250.0,330.0,-24.2,False,Underpriced
Pending,Floral Ridge,Single Family,595000.0,1898.0,313.0,412.0,-23.9,False,Underpriced
Active,Leisure Beach,Condo,328000.0,756.0,434.0,570.0,-23.8,True,Underpriced
Active,Progresso,Single Family,679900.0,1362.0,499.0,655.0,-23.8,False,Underpriced
Active,Ocean Sunrise Co Op Ocean Sunrise,Condo,175000.0,650.0,269.0,353.0,-23.7,False,Underpriced
Active,Lake Ridge,Single Family,1565000.0,2502.0,625.0,819.0,-23.6,False,Underpriced
Active,Lakeland,Single Family,1500000.0,2685.0,559.0,731.0,-23.6,True,Underpriced
Active,Las Olas,Condo,435000.0,1306.0,333.0,435.0,-23.5,False,Underpriced
Active,Point Americas,Condo,1349000.0,3003.0,449.0,588.0,-23.5,True,Underpriced
Active,Berkley South,Condo,239900.0,995.0,241.0,315.0,-23.5,False,Underpriced
Active,Victoria Park,Condo,178000.0,690.0,258.0,337.0,-23.4,False,Underpriced
Active,Shady Banks,Single Family,899000.0,2764.0,325.0,424.0,-23.3,False,Underpriced
Active,Graceland Park,Single Family,2695000.0,3741.0,720.0,940.0,-23.3,False,Underpriced
Active,Tides Bridgeside,Condo,375000.0,750.0,500.0,651.0,-23.2,True,Underpriced
Pending,Victoria Park,Condo,210000.0,850.0,247.0,322.0,-23.2,False,Underpriced
Active,Manor Grove Village Con Manor Grove Village,Condo,209000.0,750.0,279.0,363.0,-23.2,True,Underpriced
Pending,Las Olas,Single Family,2600000.0,3616.0,719.0,935.0,-23.1,False,Underpriced
Active,Victoria Park,Condo,179000.0,690.0,259.0,337.0,-23.0,False,Underpriced
Active,Rivers Bend,Condo,320000.0,1196.0,268.0,347.0,-23.0,False,Underpriced
Active,Lago Mar Place,Condo,299000.0,699.0,428.0,554.0,-22.8,True,Underpriced
Active,Victoria Park,Condo,179500.0,690.0,260.0,337.0,-22.8,False,Underpriced
Active,Himmarshee Park,Single Family,5890000.0,6058.0,972.0,1260.0,-22.8,True,Underpriced
Active,Place Des Arts,Condo,1695000.0,3726.0,455.0,587.0,-22.5,True,Underpriced
Active,Lauderdale Park,Single Family,1149000.0,2228.0,516.0,665.0,-22.5,False,Underpriced
Active,Lauderdale Villas,Single Family,439000.0,1716.0,256.0,330.0,-22.5,False,Underpriced
Active,Progresso,Single Family,497900.0,1300.0,383.0,494.0,-22.5,False,Underpriced
Active,Las Olas,Condo,409000.0,1083.0,378.0,487.0,-22.4,False,Underpriced
Active,River Oaks La Preserve,Single Family,1599000.0,2800.0,571.0,735.0,-22.4,True,Underpriced
Active,Lauderdale Park,Single Family,1825000.0,2576.0,708.0,913.0,-22.4,True,Underpriced
Active,Club Resort Residences,Condo,215000.0,380.0,566.0,729.0,-22.4,True,Underpriced
Active,Village Harbor Beach,Condo,295000.0,875.0,337.0,434.0,-22.3,False,Underpriced
Active,Atlantic Towers,Condo,340000.0,805.0,422.0,543.0,-22.3,True,Underpriced
Active,Riverside Amen,Single Family,2895000.0,4751.0,609.0,784.0,-22.3,True,Underpriced
Pending,Chelsea Residences,Townhouse,655000.0,1850.0,354.0,455.0,-22.1,False,Underpriced
Active,Patio,Condo,135000.0,580.0,233.0,299.0,-22.0,False,Underpriced
Active,River Bend,Condo,312000.0,1100.0,284.0,363.0,-21.9,True,Underpriced
Active,Berkley South,Condo,279500.0,1144.0,244.0,313.0,-21.9,False,Underpriced
Active,Tides Bridgeside Squar Tides Bridgeside,Condo,400000.0,790.0,506.0,648.0,-21.8,True,Underpriced
Active,Watergarden,Condo,449000.0,820.0,548.0,699.0,-21.7,True,Underpriced
Active,Rio Vista,Single Family,2295000.0,3083.0,744.0,950.0,-21.7,True,Underpriced
Active,Watergarden,Condo,409000.0,820.0,499.0,637.0,-21.7,True,Underpriced
Active,Port,Single Family,599000.0,1581.0,379.0,483.0,-21.6,False,Underpriced
Active,Gould Isles,Single Family,6250000.0,6019.0,1038.0,1323.0,-21.5,True,Underpriced
Active,Sea Isles,Single Family,5495000.0,5377.0,1022.0,1300.0,-21.4,True,Underpriced
Active,Progresso,Single Family,415000.0,1258.0,330.0,420.0,-21.4,False,Underpriced
Pending,Sole,Condo,259500.0,960.0,270.0,344.0,-21.3,False,Underpriced
Active,Osceola Park,Single Family,636000.0,1926.0,330.0,418.0,-21.1,False,Underpriced
