street,neighborhood,geo_type,sold_ppsf,model_ppsf,premium_vs_nbhd,waterfront_share,median_price,n_sold,n_active
SE 1st St,Colee Hammock,Mainland inland,668.0,686.0,-2.8,0.0,1352462,10,3
NE 15th Ct,Bal Harbour St,Mainland inland,659.0,638.0,-19.8,0.2,1562000,5,1
SE 11th Ct,Rio Vista,Mainland inland,657.0,678.0,-17.9,0.0,1047500,8,4
Isle Of Venice Dr,Venice Isles Tower,Finger-isle waterfront,656.0,600.0,0.7,0.97,715000,35,27
NE 5th St,Victoria Park,Mainland inland,654.0,590.0,10.8,0.0,1325000,12,3
Las Olas Way,Las Olas,Intracoastal / canal waterfront,651.0,626.0,3.8,0.97,1150000,31,13
NE 26th Ct,Sun Set Manors First,Mainland inland,649.0,520.0,23.7,0.25,817500,4,1
NE 21st Ct,Coral Ridge Galt,Mainland inland,648.0,672.0,-7.6,0.0,1410000,11,4
NE 26th Ave,Coral Ridge Galt,Mainland inland,643.0,632.0,-8.3,0.0,1400000,21,1
NE 6th St,Victoria Park,Mainland inland,642.0,574.0,8.7,0.0,1562500,10,3
NE 4th Pl,Victoria Park,Mainland inland,630.0,843.0,6.7,0.0,1647500,6,0
SE 12th St,Vela Vista,Intracoastal / canal waterfront,629.0,451.0,-16.3,0.64,1375000,11,10
Bayshore Dr,Bayshore Towers,Barrier island / beach,627.0,575.0,17.0,0.81,785000,83,44
NE 8th St,Victoria Park,Mainland inland,627.0,594.0,6.3,0.0,1100000,7,1
S Ocean Ln,Point Americas,Barrier island / beach,627.0,577.0,15.9,0.91,1013752,66,42
NE 10th Ter,Amadale,Mainland inland,625.0,583.0,5.9,0.0,850000,5,0
NE 20th St,Manor Grove,Mainland inland,619.0,705.0,89.3,0.36,1875000,11,2
NE 14th St,Coral Ridge,Mainland inland,618.0,545.0,-22.1,0.38,1595000,13,3
NE 11th Ave,Victoria Park,Mainland inland,618.0,590.0,4.7,0.0,1250000,18,7
NE 29th Ct,Coral Shores,Mainland inland,616.0,642.0,23.0,0.0,1131250,8,1
SE 11th Ave,Cole Hammock,Mainland inland,616.0,690.0,0.0,0.25,1787475,8,1
N New River Dr,Watergarden,Intracoastal / canal waterfront,616.0,619.0,7.7,0.9,857000,31,14
S Birch Rd,Jackson Tower Las Olas,Barrier island / beach,615.0,588.0,-9.3,0.72,1050000,25,21
NE 10th Ave,Amadale,Mainland inland,609.0,530.0,3.2,0.0,1000000,21,8
Middle River Dr,Coral Ridge,Mainland inland,606.0,661.0,-23.6,0.42,1530000,33,18
NE 26th Ter,Coral Ridge Galt,Barrier island / beach,603.0,635.0,-14.0,0.0,1200000,5,1
SW 12th Ave,Riverside Amen,Mainland inland,602.0,615.0,-3.2,0.0,880000,9,3
NE 16th Ct,Miller Gardens,Mainland inland,599.0,507.0,6.7,0.0,675000,7,4
Hendricks Isle,Burton Point,Intracoastal / canal waterfront,596.0,604.0,1.4,0.94,1367500,32,29
NE 29th St,Coral Ridge Galt,Barrier island / beach,596.0,637.0,-14.9,0.56,1015000,18,7
NE 4th St,Halls,Mainland inland,594.0,662.0,-23.7,0.0,1220000,6,1
