street,neighborhood,geo_type,sold_ppsf,model_ppsf,premium_vs_nbhd,waterfront_share,median_price,n_sold,n_active
N Ocean Blvd,Berkley South,Barrier island / beach,491.0,493.0,63.7,0.41,630000,147,86
NE 22nd Dr,Village Wilton Manors,Mainland inland,491.0,435.0,7.8,0.0,779000,5,2
SW 15th Ter,Hendricks Heights,Mainland inland,488.0,436.0,22.5,0.0,642450,4,2
SW 8th Ter,Seawanna,Mainland inland,485.0,447.0,13.6,0.43,627000,7,3
SW 18th Ct,River Oaks,Mainland inland,484.0,441.0,17.2,0.0,670000,11,4
NE 32nd Ave,Tides Bridgeside,Barrier island / beach,484.0,497.0,10.3,0.04,460000,27,15
SE 2nd St,Las Olas,Mainland inland,483.0,488.0,-23.0,0.19,650000,36,12
NE 6th Ave,Tropical Manors,Mainland inland,474.0,538.0,-19.5,0.0,684350,4,2
NW 29th St,Jenada Villas,Mainland inland,472.0,391.0,24.9,0.0,600000,5,3
SW 4th Ave,Esplanade,Mainland inland,468.0,380.0,1.2,0.4,615000,20,12
SW 8th Way,Tarpon River,Intracoastal / canal waterfront,468.0,536.0,10.4,0.5,1103125,4,0
NE 21st Ter,Coral Shores,Mainland inland,468.0,498.0,-6.6,0.4,863125,5,2
SW 21st St,Rickel,Mainland inland,466.0,442.0,7.1,0.0,480000,4,4
NW 5th Ave,Progresso,Mainland inland,466.0,428.0,13.8,0.0,525000,13,1
NE 12th Ave,Victoria Park,Mainland inland,466.0,502.0,-21.1,0.0,1155000,16,4
SW 4th Ct,Gill Isles,Mainland inland,465.0,456.0,-13.6,0.2,832500,5,3
SW 16th St,Alta Vista Terrace,Mainland inland,464.0,445.0,-3.6,0.11,639000,9,0
NE 12th St,Lake Ridge,Mainland inland,463.0,518.0,-12.3,0.0,850000,5,3
SE 5th Ct,Rio Vista,Mainland inland,460.0,636.0,-42.5,0.0,950000,9,1
NE 19th St,Poinsettia Heights,Mainland inland,454.0,476.0,-13.4,0.18,869000,11,6
NW 6th Ave,Progresso,Mainland inland,454.0,431.0,11.0,0.0,535000,18,3
NE 15th Ave,Victoria Park,Mainland inland,452.0,456.0,-23.5,0.12,837500,24,15
NW 28th St,Wilton Estates,Mainland inland,448.0,406.0,-3.0,0.0,647500,5,0
NE 32 Ave,Tides,Barrier island / beach,448.0,492.0,-5.9,0.0,455000,4,0
SW 4th St,Sanford Adler,Mainland inland,448.0,490.0,0.0,0.38,637500,8,2
NE 1st Ave,Progresso,Mainland inland,445.0,458.0,8.7,0.11,580000,19,3
SW 20th St,Lauderdale,Mainland inland,444.0,416.0,-4.1,0.0,587500,8,4
SE 4th St,Chateau Mar,Intracoastal / canal waterfront,444.0,550.0,-2.5,0.79,487500,14,4
SW 14th Ct,Lauderdale,Mainland inland,442.0,418.0,-4.5,0.0,555000,4,3
SW 12th Ct,Riverside Estates Nd,Mainland inland,442.0,447.0,4.7,0.09,615000,11,0
SW 11th Ct,Croissant Park,Mainland inland,440.0,434.0,-9.1,0.44,665807,9,3
Yacht Club Blvd,Sunrise Bay Club Co Op,Intracoastal / canal waterfront,440.0,445.0,-4.2,0.79,388750,14,1
