neighborhood,sample_txns,avg_homes_sold_90d,raw_ppsf_recent,raw_dom_recent,raw_s2l_recent,price_drop_rate,sold_above_rate,months_supply,list_ppsf_recent,first_year,last_period,norm_ppsf,ppsf_cagr,norm_dom,norm_s2l,discount_pct,raw_discount_pct,vs_city_pct,confidence,value_rank,appreciation_rank,buyer_leverage,leverage_rank
Colee Hammock,45,1.4,739.7,67.1,0.9293280296785714,,0.021897810218978103,,837.5,2012,2026-03,783.2,0.06287697061342534,146.0,0.920456275661229,7.95,7.07,80.2,Medium,11,63,0.606,7
Rio Vista,168,3.3,808.9,111.9,0.919854032375,,0.07602339181134503,,990.1,2012,2026-03,778.9,0.08961989375841717,127.0,0.9165178425612398,8.35,8.01,79.2,High,12,40,0.496,9
Dolphin Isles,30,1.4,746.2,157.8,0.8771163229666666,,0.03225806451612903,,769.4,2013,2026-03,778.2,0.04370452395803759,135.0,0.927065116187103,7.29,12.29,79.0,Low,13,67,0.414,14
Landings,94,2.2,1017.4,182.3,0.9155647647,,0.06228373702352941,,1034.7,2012,2026-03,720.9,0.08717428147531736,106.0,0.9199454053501658,8.01,8.44,65.8,Medium,14,43,0.263,20
Bermuda Riviera,65,1.6,963.7,211.9,0.9200838807571429,,0.1212121212090909,,1022.1,2012,2026-03,705.2,0.08808391037063257,119.0,0.9224238455540134,7.76,7.99,62.2,Medium,15,42,0.341,18
Bal Harbour,54,1.5,781.7,55.2,0.8602868477200001,,0.037037037037037035,,998.8,2012,2026-03,704.0,0.07758258173059818,120.0,0.9221933479162318,7.78,13.97,61.9,Medium,16,54,0.353,17
Coral Ridge,270,5.0,813.7,110.3,0.9269369690720001,,0.07244655582270784,,886.7,2012,2026-03,669.2,0.08865594870019766,127.0,0.9283757859097307,7.16,7.31,53.9,High,17,41,0.325,19
Victoria Park,325,5.9,688.9,102.6,0.9427126847979798,,0.08782435129657684,,778.4,2012,2026-03,666.1,0.09238068240540165,114.0,0.9409367801622136,5.91,5.73,53.2,High,18,39,0.03,29
Middle River Park,30,1.4,674.5,152.2,0.9397717698125001,,0.11956521738913044,,255.8,2012,2026-03,658.7,0.13735650467018745,93.0,0.937959046625262,6.2,6.02,51.5,Low,19,8,-0.113,38
Sunrise Intracoastal,50,1.7,580.0,400.3,0.9139944940499999,,0.09933774834304636,,862.6,2014,2026-03,656.1,0.08694053210995523,131.0,0.9228897872524632,7.71,8.6,50.9,Medium,20,45,0.439,12
Beach Way Heights,22,1.2,1007.1,215.8,0.9859900983222223,,0.04285714285714286,,1173.5,2015,2026-03,652.1,0.14131877828036532,105.0,0.9316467393674862,6.84,1.4,50.0,Low,21,5,0.085,26
Coral Ridge Galt,168,3.2,763.9,102.1,0.9101839208241934,,0.061068702292786256,,879.1,2012,2026-03,646.3,0.07831044568838474,133.0,0.9269715244504814,7.3,8.98,48.7,High,22,53,0.398,15
Sailboat Bend,70,1.7,480.9,215.4,0.9137352920249999,,0.12735849056556603,,582.2,2012,2026-03,622.5,0.10221646098785153,99.0,0.9384549323765813,6.15,8.63,43.2,Medium,23,28,-0.067,34
Lake Estates,51,1.6,684.0,125.2,0.9082018548999999,,0.15584415584350647,,772.6,2012,2026-03,614.3,0.1140482908894711,104.0,0.9378016477105143,6.22,9.18,41.3,Medium,24,17,-0.013,31
Coral Ridge Country Club Estates,217,4.3,684.2,103.7,0.923123343792453,,0.10925644916541731,,747.6,2012,2026-03,590.3,0.07303931011017872,122.0,0.9315957575773068,6.84,7.69,35.8,High,25,58,0.235,22
Lake Ridge,94,2.1,518.1,111.5,0.9346926280333333,,0.09540636042084805,,573.0,2012,2026-03,579.8,0.10927421217907263,117.0,0.9379194523614508,6.21,6.53,33.4,Medium,26,25,0.1,25
Bay Colony,22,1.2,1154.3,446.3,0.8531843903857143,,0.04477611940149254,,839.2,2012,2026-03,542.7,0.05541453391363471,126.0,0.923408688077179,7.66,14.68,24.8,Low,27,66,0.388,16
Coral Shores,39,1.5,508.5,140.6,0.96112255969,,0.10256410256410256,,582.5,2013,2026-03,534.0,0.06064735445576641,109.0,0.9370330747188742,6.3,3.89,22.8,Low,28,64,0.042,28
Poinsettia Heights,244,4.6,528.6,109.1,0.9480403351597703,,0.09236947791244979,,580.3,2012,2026-03,533.1,0.08708222848661462,101.0,0.9411453695059847,5.89,5.2,22.6,High,29,44,-0.087,36
Waverly Place,34,1.2,495.5,177.6,0.8774645272857143,,0.08737864077669903,,580.7,2012,2026-03,531.9,0.08622502774136098,83.0,0.9432585308883218,5.67,12.25,22.3,Low,30,46,-0.278,47
Tarpon River,168,3.1,466.6,155.2,0.9392549825826921,,0.13888888888710318,,589.4,2012,2026-03,510.7,0.07833561974568304,111.0,0.9361601691324785,6.38,6.07,17.5,High,31,52,0.071,27
Lauderdale Isles,298,5.3,433.7,92.6,0.9039113070028169,,0.12999999999973333,,541.2,2012,2026-03,500.1,0.06785905679666393,101.0,0.9372078494037059,6.28,9.61,15.0,High,32,61,-0.031,32
River of Croissant Park,56,1.6,460.3,140.4,0.9503243475379312,,0.12499999999940475,,566.0,2012,2026-03,486.1,0.1190497355587079,95.0,0.9359348047873141,6.41,4.97,11.8,Medium,33,14,-0.065,33
River Oaks,261,4.7,547.3,127.8,0.9372773978494119,,0.1637279596979849,,516.8,2012,2026-03,476.5,0.07636982573980045,83.0,0.9457550150762176,5.42,6.27,9.6,High,34,56,-0.314,49
Poinciana Park,23,1.3,558.9,302.9,0.8726063989142858,,0.17142857142714285,,419.0,2012,2026-03,473.3,0.11165563573648862,116.0,0.9283261227352994,7.17,12.74,8.9,Low,35,21,0.229,23
