status,mls,area,address,neighborhood,sub_raw,list_price,sale_price,acre,psqft,lot_desc,zn,style,ptype,waterfront,road,lot_sqft,density,is_dock,acre_band,value,land_ppsf,corner,cul_de_sac,interior,irregular,oversized,flood,east_us1,west_us1
Sold,R11121869,5940 Florida Other,3362 Rhododendron Road,Leisure Lakes,LEISURE LAKES SEC 17,9400.0,9400.0,,,,R1,,Single,False,Public Road,,Single-family,False,,9400.0,,False,False,False,False,False,False,False,False
Sold,A11703575,5940 Florida Other,0 Red Plum Ln,Oakwood Hills,OAKWOOD HILLS 11,9000.0,9000.0,1.031,,,,Zoned Residential,Residential,True,,44910.35999999999,Single-family,False,1–2 ac,9000.0,0.2003991951968321,False,False,False,False,False,False,False,False
Sold,R11152436,5940 Florida Other,00 Riverside Trail,Hoot Owl,HOOT OWL,7999.0,7999.0,,,Less Than 1/4 Acre Lot,R2,,Unimproved Agri/Recreatn/Moblhome,False,,,Single-family,False,< 0.25 ac,7999.0,,False,False,False,False,False,False,False,False
Sold,R11152425,5940 Florida Other,1256 Kumquat Street,Leisure Lakes,LEISURE LAKES SEC 07,9999.0,9999.0,0.2296,,Less Than 1/4 Acre Lot,R1,,Unimproved Agri/Recreatn/Moblhome,False,,10001.376,Single-family,False,< 0.25 ac,9999.0,0.9997624326892619,False,False,False,False,False,False,False,False
Sold,F10524611,,15893 NW 302nd St,Prairie,THE PRAIRIE,9500.0,9500.0,1.31,65340.0,,,Zoned Residential,Other,False,,65340.0,Single-family,False,1–2 ac,9500.0,0.14539332721150902,False,False,False,False,False,False,False,False
Sold,A11996203,5940 Florida Other,11147 W State Park ST,Crystal Lake,CRYSTAL LAKE,9088.0,9088.0,0.5956,,,,Zoned Residential,Residential,False,,25944.336,Single-family,False,0.5–0.75 ac,9088.0,0.3502884020620146,False,False,False,False,False,False,False,False
Sold,A11954227,5940 Florida Other,unnumbered Ocean Street,Palatka,PALATKA,9000.0,9000.0,7405.0,,,,Zoned Residential,Residential,False,,7405.0,Single-family,False,< 0.25 ac,9000.0,1.2153950033760972,False,False,False,False,False,False,False,False
Sold,A11808171,5940 Florida Other,2221 NW 12th St,Cape Coral,CAPE CORAL,9000.0,9000.0,0.11,5009.0,,Residential,Zoned Residential,Residential,False,,5009.0,Single-family,False,< 0.25 ac,9000.0,1.7967658215212616,False,False,False,False,False,False,False,False
Sold,A11854005,5940 Florida Other,105 Colebrook Ave,Sun Lakes East Side,SUN N LAKES L.P. EAST SIDE,8000.0,8000.0,0.23,10000.0,Less Than 1/4 Acre Lot,R1,Zoned Residential,Residential,False,,10000.0,Single-family,False,< 0.25 ac,8000.0,0.8,False,False,False,False,False,False,False,False
Sold,A11813059,5940 Florida Other,1401 RUTLEDGE AVE,Highlands Park Est,HIGHLANDS PARK EST SEC J,7250.0,7250.0,0.2583,,,,Zoned Residential,Residential,False,,11251.547999999999,Single-family,False,0.25–0.5 ac,7250.0,0.6443557810889666,False,False,False,False,False,False,False,False
