status,area,neighborhood,list_price,sale_price,beds,fbaths,hbaths,sqft,ptype,year_built,garage,pool,waterfront,lot_sqft,baths,age,ask_ppsf,sale_ppsf,discount,geo
Active,3160,Lauderdale Beach,4500000.0,,4,3,1.0,3084.0,Single Family,1950.0,2.0,True,False,9334.0,3.5,76.0,1459.1439688715952,,,Lauderdale Beach
Active,3170,Paramount Ft Lauderdale,4500000.0,,4,4,1.0,3204.0,Condo,2017.0,2.0,False,True,,4.5,9.0,1404.4943820224719,,,AREA_3170
Active,3370,Lazy Lake,4500000.0,,3,4,1.0,4857.0,Single Family,1967.0,2.0,True,True,39865.0,4.5,59.0,926.4978381717109,,,AREA_3370
Active,3160,Selene Oceanfront Residenc Selene Oceanfront,4499900.0,,4,4,0.0,3122.0,Condo,2025.0,2.0,False,True,0.0,4.0,1.0,1441.3516976297246,,,AREA_3160
Active,3170,Venetian Condominium,4499000.0,,3,4,1.0,3425.0,Condo,1971.0,2.0,False,True,,4.5,55.0,1313.5766423357663,,,Venetian Condominium
Active,3280,Colee Hammock,4499000.0,,5,5,1.0,4594.0,Single Family,2025.0,2.0,True,False,6250.0,5.5,1.0,979.320853286896,,,Colee Hammock
Active,3160,Four Seasons,4495000.0,,2,3,,2237.0,Condo,2022.0,2.0,False,True,,3.0,4.0,2009.3875726419312,,,Four Seasons
Active,3170,Harbourage Place,4495000.0,,3,4,1.0,4043.0,Condo,1998.0,3.0,False,True,,4.5,28.0,1111.7981696759832,,,AREA_3170
Active,3170,Selene Oceanfront Residenc Selene Oceanfront Residen,4448000.0,,4,3,1.0,3240.0,Condo,2025.0,2.0,False,False,0.0,3.5,1.0,1372.8395061728395,,,AREA_3170
Active,3700,Viceroy Fort Lauderdale Viceroy,4410000.0,,4,4,1.0,2585.0,Condo,2025.0,3.0,False,False,,4.5,1.0,1705.9961315280464,,,AREA_3700
Active,3260,Coral Ridge Galt,4395000.0,,3,3,,3500.0,Single Family,2025.0,2.0,True,True,10000.0,3.0,1.0,1255.7142857142858,,,Coral Ridge Galt
Active,3270,Victoria Park,4395000.0,,5,4,1.0,4042.0,Single Family,2007.0,2.0,True,True,10528.0,4.5,19.0,1087.333003463632,,,Victoria Park
Active,3280,Las Olas Isles,4395000.0,,4,4,1.0,4125.0,Single Family,2008.0,2.0,True,True,7500.0,4.5,18.0,1065.4545454545455,,,Las Olas Isles
Active,3160,Ritz Carlton Ftl,4339000.0,,3,3,1.0,2940.0,Condo,2029.0,1.0,False,True,,3.5,,1475.8503401360545,,,AREA_3160
