"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","F10471504","CS","3370","2808-2816 N Dixie","","$1,175,000","","","COM/Sale","","Retail Space, School, Warehouse Space","Commercial","","","$1,175,000",""
"1","A11631671","CS","3360","1823 - 1825 SW 1st Ave","","$1,075,000","¤SRAC-SAw","1952","COM/Sale","","Free Standing, Warehouse Space","Industrial","10,000","","$1,075,000",""
"1","R11098527","CS","3580","1359 SW 21st Terrace","","$1,150,000","I","1957","COM/Sale","","","Industrial","","No","$1,150,000",""
"1","F10517299","CS","3380","1129 NE 16th Avenue Unit#1-5","","$1,150,000","RC-15","1964","COM/Sale","","","Multifamily","6,752","","$1,150,000",""
"1","A11887948","CS","3400","1100 NE 4th Ave Unit#1-2","","$1,140,000","¤CB","1954","COM/Sale","Mixed Use","Other Type, Restaurant/Bar","Restaurant/Entertainment","6,250","No","$1,140,000","2"
"1","F10532075","CS","3280","560 NE 15th Avenue","","$1,195,000","RC-15","1953","COM/Sale","","","Multifamily","6,192","","$1,195,000",""
"1","A11771376","CS","3330","1310 NE 30th St Unit#1-5","","$1,080,000","¤R-1","1960","COM/Sale","","Commercial/Residential Income, Residential-Multi-Family","Income/MultiFamily","11,349","Yes","$1,080,000",""
"1","F10486633","CS","3370","2520 N Dixie Highway","","$1,115,000","LI","2000","COM/Sale","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","9,828","","$1,115,000","1"
"1","F10484176","CS","3700","921 NE 3rd Avenue","","$1,035,000","NWRAC-MUne","1979","COM/Sale","","Heavy Manufacturing, Light Manufacturing, Office/Warehouse Combination, Office Space, Warehouse Space","Industrial","","","$1,035,000",""
"1","F10451956","CS","3270","921 NE 16th Terrace","","$1,015,000","RMM-25","1946","COM/Sale","","","Multifamily","6,750","","$1,015,000",""
"1","F10468256","CS","3800","412 SE 13th Street","","$985,000","RO","1939","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Commercial","1,412","","$985,000",""
"1","F10489400","CS","3460","1448 NW 6th Street","","$875,000","NWRAC-MUW","1963","COM/Sale","","","Mixed Use","12,217","","$875,000","0"
"1","A11859675","CS","3650","601 NW 22 RD","","$901,000","","","COM/Sale","","Restaurant/Bar","Restaurant/Entertainment","15,756","","$901,000",""
"1","F10469034","CS","3370","2032 NE 26th Street Unit#1-6","","$885,000","ROSC-2","1956","COM/Sale","","Warehouse Space","Multifamily","7,004","","$885,000",""
"1","F10479444","CS","3800","130 SE 29th Street","","$905,000","B-3","1998","COM/Sale","","","Industrial","1,671","","$905,000",""
"1","A11710589","CS","3050","708 Spangler Blvd Unit#BAY7","","$895,000","¤IM-3","2004","COM/Sale","Industrial","Condominium, Warehouse Space","Industrial","1,500","No","$895,000","1"
"1","A11819826","CS","3800","1314 SE 1st Ave","","$700,000","¤ROA","1925","COM/Sale","Mixed Use","Office Space, Professional","Office","6,250","No","$700,000",""
"1","F10505483","CS","3800","100 SE 20th Street","","$660,000","RO","1959","COM/Sale","","","Commercial","6,776","","$660,000",""
"1","F10460731","CS","3500","632 SW 4th Avenue","","$700,000","RAC-SMU","1971","COM/Sale","","","Commercial","6,250","","$700,000",""
"1","R11089663","CS","3460","626 NW 10th Terrace Unit#1-5","","$733,000","RMM-25","1940","COM/Sale","","","Multifamily","","No","$733,000",""
"1","A11538174","CS","3260","2455 E Sunrise Blvd Unit#CU11A","","$515,000","¤B-1","1973","COM/Sale","Commercial Office","Office Space, Professional","Office","84,506","No","$515,000",""
"1","F10470263","CS","3450","548 32nd Street Unit#548","","$700,000","B-3","1959","COM/Sale","","Heavy Manufacturing, Light Manufacturing, Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","","","$700,000","2"
"1","A11954137","CS","3600","1085 SE 17th St","","$675,000","¤B-1","1962","COM/Sale","","Office Space, Retail Space","Retail","1,200","","$675,000",""
"1","A11770215","CS","3800","217 SE 10th St","","$600,000","¤RAC-RPO","1949","COM/Sale","Mixed Use","Commercial/Residential Income","Mixed Use","4,633","No","$600,000",""
"1","F10485692","CS","3370","1200 NE 7th Avenue Unit#6","","$580,000","","2006","COM/Sale","","Residential-Single Family, Warehouse Space","Commercial","1,258","","$580,000",""
"1","F10435691","CS","3380","1200 NE 7th Avenue Unit#1","","$575,000","B-3","2007","COM/Sale","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","1,276","","$575,000","1"
"1","R11123080","CS","3600","412 SE 23 Street","","$525,000","RO","1959","COM/Sale","","Medical Office, Office/Warehouse Combination, Office Space","Office","","","$525,000",""
"1","A11690352","CS","3470","1851 SW 2nd Ave Unit#8","","$595,000","¤B-3","1999","COM/Sale","Commercial Lease","Industrial, Warehouse Space","Industrial","1,488","No","$595,000","1"
"1","A11782606","CS","3800","215 SW 17th St","","$505,000","¤B-3","1960","COM/Sale","Commercial Office","Commercial/Residential Income, Office Space","Office","7,380","No","$505,000",""
"1","F10481226","CS","3480","2011 W State Road 84 Unit#218-1","","$500,000","PUD","2009","COM/Sale","","","Commercial","","","$500,000",""
"1","A11923553","CS","3450","401 E Oakland Park Blvd","","$500,000","¤B-1","1968","COM/Sale","Mixed Use","Medical Office, Professional","Mixed Use","5,268","No","$500,000",""
"1","A11562261","CS","3480","2011 W State Road 84 Unit#212-1","","$498,500","¤PUD","2009","COM/Sale","Special Purpose","Automotive, Warehouse Space","Special Purpose","202,500","No","$498,500",""
"1","A11562239","CS","3280","2011 W State Road 84 Unit#210-1","","$450,000","¤PUD","2009","COM/Sale","Special Purpose","Automotive","Industrial","202,520","No","$450,000",""
"1","A11775992","CS","3160","3015 N Ocean Blvd Unit#C120","","$200,000","¤CB","1974","COM/Sale","Commercial Office","Office Space, Professional","Office","5,200","","$200,000",""
"1","F10521525","CS","3600","1085 SE 17th Street","","$483,600","B-1","1961","COM/Sale","","Warehouse Space","Retail","1,200","","$483,600",""
"1","F10425450","CS","3160","3015 N Ocean Boulevard Unit#C-105","","$325,000","CB","","COM/Sale","","Office/Warehouse Combination, Office Space, Residential-Single Family, Retail Space, School, Warehouse Space","Commercial","1,938","","$325,000",""
