"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","A11993577","A","3460","834 NW 10th Terr","","$1,750,000","¤B-3","1969","COM/Sale","","Industrial","Industrial","16,875","No","",""
"1","A12045322","A","3470","620 SW 7th St Unit#1-6","","$1,749,000","¤RD-15","1960","COM/Sale","","Apartments, Residential-Multi-Family","Income/MultiFamily","8,075","","",""
"1","B26019252","A","3160","917 N Fort Lauderdale Beach Boulevard","","$1,707,800","SLA","1955","COM/Sale","","","Retail","","","",""
"1","A11941319","A","3370","2301 Wilton Dr Unit#C5"," ","$1,550,000","¤A & E DI","2008","COM/Sale","","Condominium, Retail Space","Retail","0","No","",""
"1","B26041815","A","3700","103 NE 4th Street","","$1,450,000","RAC-UV","1959","COM/Sale","","Office/Warehouse Combination, Office Space","Office","","","",""
"1","F10546525","A","3460","751 NW 5th Street"," ","$1,399,990","RMM-25","1960","COM/Sale","","","Multifamily","10,125","","",""
"1","B26010834","A","3260","2633 Middle River Drive Unit#1-6"," ","$1,349,000","RMM-25","1957","COM/Sale","","","Multifamily","","","",""
"1","A11978741","A","3720","355 NW 32nd St Unit#1-6","","$1,300,000","¤R-2","1965","COM/Sale","","Apartments","Income/MultiFamily","13,800","","",""
"1","F10552058","A","3800","1901 SE 4th Avenue"," ","$1,150,000","ROA","1959","COM/Sale","","Office/Warehouse Combination, Office Space, Warehouse Space","Mixed Use","8,315","","",""
"1","A12004590","A","3800","1126 SE 2nd Ave"," ","$1,100,000","¤ROA","1950","COM/Sale","","Medical Office, Professional","Mixed Use","10,954","","",""
"1","A12029539","A","3424","1026 NW 9th Ave","","$1,050,000","¤B-1","1961","COM/Sale","","Retail Space, Strip Store","Retail","6,751","","",""
"1","A12026724","A","3424","1026 NW 9th Ave","","$1,050,000","¤B-1","1961","COM/Sale","Commercial Retail","Retail Space, Strip Store","Retail","6,751","","",""
"1","F10532172","A","3160","3015 N Ocean Boulevard Unit#C1-C8","","$1,040,000","MIXED USE COMM","1974","COM/Sale","","Warehouse Space","Mixed Use","5,200","","",""
"1","F10555318","A","3270","812 NE 15 Avenue","","$999,900","","1971","COM/Sale","","","Multifamily","","","",""
"1","A11911133","A","3600","1083 SE 17th St"," ","$995,000","¤B-1","1968","COM/Sale","","Restaurant/Bar, Retail Space","Restaurant/Entertainment","1,200","","",""
"1","A12026991","A","3800","200 S Andrews Ave Unit#503"," ","$990,000","¤RAC-CC","1986","COM/Sale","","Office Space","Office","2,400","","",""
"1","F10503436","A","3380","3045 N Federal Highway Unit#50"," ","$975,000","B-1","1985","COM/Sale","","Mall Enclosed, Shopping Center, Strip Store","Retail","","","",""
"1","B26017087","A","3560","2165 NW 19th Street","","$975,000","B-3","1950","COM/Sale","","","Mixed Use","","","","2"
"1","F10550299","A","3800","201 SE 19th Street","","$875,000","17","1960","COM/Sale","","Warehouse Space","Commercial","6,840","","",""
"1","A12048692","A","3800","423 SE 19th St","","$799,000","¤RO","1967","COM/Sale","","Office Space, Professional","Office","6,840","","",""
"1","A11992794","A","3370","1518-1522 NE 4th Ave","","$750,000","¤CB","1976","COM/Sale","Commercial Retail","Commercial/Residential Income","Retail","6,248","No","",""
"1","B26033810","A","3370","1219 NE 5th Terrace Unit#1-2"," ","$747,850","RMM-25","1957","COM/Sale","","","Multifamily","","","",""
"1","A11865042","A","3480","1200 S Federal Hwy"," ","$710,000","¤B-1","1964","COM/Sale","","Free Standing, Retail Space","Retail","1,833","","",""
"1","F10541521","A","3460","1536 NW 6th Street","","$675,000","NWRAC-MUw","1961","COM/Sale","","Hotel/Motel","Mixed Use","4,680","","",""
"1","F10554850","A","3270","2455 E Sunrise Boulevard","","$485,500","","1973","COM/Sale","","Office/Warehouse Combination, Office Space, Warehouse Space","Office","","","",""
"1","A11953210","A","3260","2455 E Sunrise Blvd Unit#CU9J"," ","$320,000","¤B-1","2008","COM/Sale","Commercial Office","Free Standing, Office Space","Office","13,263","","",""
"1","B26042261","A","3260","2455 E Sunrise Boulevard Unit#801"," ","$299,900","B-1","1973","COM/Sale","","Consumer Service, Office/Warehouse Combination, Office Space, Professional","Commercial","","","",""
"1","B26042257","A","3260","2455 E Sunrise Boulevard Unit#802"," ","$299,900","B-1","1973","COM/Sale","","Consumer Service, Office/Warehouse Combination, Office Space, Professional","Commercial","","","",""
"1","B26002784","A","3160","3015 N Ocean Boulevard Unit#C122"," ","$250,000","CB","1974","COM/Sale","","","Office","","","",""
"1","B26025000","A","3160","3015 N Ocean Boulevard Unit#C109a","","$249,000","CB","1974","COM/Sale","","Consumer Service, Office/Warehouse Combination, Office Space, Professional","Commercial","","","",""
"1","F10551345","A","3160","3015 N Ocean Boulevard Unit#C-125","","$200,000","","","COM/Sale","","Office/Warehouse Combination, Office Space, Residential-Single Family, Retail Space, School, Warehouse Space","Commercial","104,310","","",""
"1","F10536326","A","3160","3015 N Ocean Unit#C-3","","$99,900","mixed","","COM/Sale","","Residential-Single Family, Warehouse Space","Commercial","","","",""
"1","F10538016","A","3360","2050 E Oakland Park Boulevard","","$32,000","RMM-25","","COM/Lease","","Mall Enclosed, Shopping Center, Strip Store, Warehouse Space","Commercial","23,658","","",""
"1","F10550891","A","3490","325 SW 26th Street","","$30,000","B-2","","COM/Lease","","Heavy Manufacturing, Light Manufacturing, Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","33,723","","",""
"1","A12015540","A","3700","201 SW 1st Ave Unit#145","","$26,600","¤RAC-CC","1972","COM/Lease","Commercial Lease","Restaurant/Bar, Tavern/Bar","Restaurant/Entertainment","3,000","","",""
"1","F10538013","A","3250","3315 E Oakland Park Boulevard","","$26,250","CB","1970","COM/Lease","","Mall Enclosed, Shopping Center, Strip Store, Warehouse Space","Commercial","9,625","","",""
"1","A11811326","A","3560","1226 NW 23rd Ave"," ","$25,302","¤I","1962","COM/Lease","Industrial Lease","Dock Height Building, Industrial","Industrial","29,889","No","","3"
