"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","A11737941","C","3580","2011 W State Road 84 Unit#320-3","","$750,000","¤PUD","2024","COM/Sale","","Warehouse Space","Mixed Use","0","","",""
"1","F10540599","C","3260","2455 E Sunrise Boulevard Unit#CU-4G-4H-4I","","$699,950","B-1","1973","COM/Sale","","","Commercial","","","",""
"1","F10472586","C","3800","200 SE 19th Street","","$699,000","ROA","1968","COM/Sale","","Warehouse Space","Mixed Use","6,950","","",""
"1","F10468835","C","3800","314 SE 14th Street","","$665,000","ROA","1952","COM/Sale","","Office/Warehouse Combination, Office Space","Commercial","6,000","","",""
"1","A11701071","C","3450","405-407 E Oakland Park Blvd","","$600,000","¤B-1","1988","COM/Sale","Mixed Use","Commercial/Residential Income","Income/MultiFamily","4,335","No","",""
"1","F10526269","C","3800","200 SE 19th Street","","$549,000","ROA","1968","COM/Sale","","Office/Warehouse Combination, Office Space","Commercial","6,950","","",""
"1","A11619459","C","3580","2011 W State Road 84 Unit#230-2","","$495,000","Pud","","COM/Sale","","Condominium","Industrial","200,000","No","",""
"1","A11820243","C","3160","3015 N Ocean Blvd Unit#C116","","$399,000","12","1974","COM/Sale","","Condominium, Office Space","Office","0","No","",""
"1","F10522740","C","3160","3015 N Ocean Boulevard Unit#C116","","$380,000","12","1974","COM/Sale","","Warehouse Space","Commercial","0","","",""
"1","F10502935","C","3490","2612 SW 14th Avenue","","$375,000","B-2","1949","COM/Sale","","","Commercial","6,120","","",""
"1","A11934612","C","3260","2455 E Sunrise Blvd Unit#CU9J","","$350,000","¤B-1","2008","COM/Sale","Commercial Lease","Office Space","Office","13,263","","",""
"1","F10554860","C","3611","2900 State Road 7","","$207,000","","","COM/Sale","","Mall Enclosed, Shopping Center, Strip Store, Warehouse Space","Commercial","","","",""
"1","F10536686","C","3560","655 NW 22nd Road","","$192,000","CB","1959","COM/Sale","","","Commercial","1,837","","",""
"1","R11034062","C","3160","3015 N Ocean Boulevard Unit#C101","","$175,000","CB","1974","COM/Sale","","","","","No","",""
"1","F10535527","C","3160","3015 Ocean","","$123,456","","","COM/Sale","","Warehouse Space","Commercial","","","",""
"1","F10409228","C","3280","235 S Fort Lauderdale Beach Boulevard","","$40,000","PRD","","COM/Lease","","Retail Space, School, Warehouse Space","Retail","10,111","","",""
"1","A11677495","C","3490","350 SW 25th St","","$22,000","¤B-2","1987","COM/Lease","","Restaurant/Bar, Retail Space","Restaurant/Entertainment","32,680","","",""
"1","A11768887","C","3490","350 SW 25th St","","$18,000","¤B-2","1987","COM/Lease","","Office/Warehouse Combination, Retail Space","Mixed Use","32,680","","",""
"1","A11998591","C","3470","709 SW 4th Ct Unit#1-7","","$14,000","¤RML-25","1941","COM/Lease","","Apartments, Residential-Multi-Family","Income/MultiFamily","14,000","","",""
"1","A11979992","C","3460","900 NW 6th St","","$10,000","¤NWRAC-MU","1955","COM/Lease","","Restaurant/Bar","Restaurant/Entertainment","12,518","","",""
"1","A11977108","C","3470","608 SW 16th Ave Unit#1-4","","$9,000","¤RM-15","1970","COM/Lease","Income Non-Waterfront","Adult Congregate, Residential-Multi-Family","Income/MultiFamily","7,000","","",""
"1","A11819771","C","3160","3015 N Ocean Blvd Unit#C116","","$8,000","¤CB","1988","COM/Lease","","Office Space","Mixed Use","0","No","",""
"1","B26002389","C","3260","2455 E Sunrise Boulevard Unit#Cu-4g-4h-4i","","$6,995","B-1","1973","COM/Lease","","","Commercial","","","",""
"1","A11946393","C","3800","200 S Andrews Ave Unit#602","","$6,875","¤RAC-CC","2007","COM/Lease","","Condominium, Office Space","Office","0","","",""
"1","F10505840","C","3800","200 S Andrews Avenue Unit#602","","$6,875","","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","","","",""
"1","A11585935","C","3800","1318 SE 2 AVENUE","","$6,800","COMM","1966","COM/Lease","Commercial Office","Office Space","Office","9,360","No","","0"
"1","F10449627","C","3480","200 SW 25th Street","","$5,820","","","COM/Lease","","Heavy Manufacturing, Light Manufacturing, Office/Warehouse Combination, Office Space, Warehouse Space","Industrial","","","","3"
"1","A11752931","C","3100","3212 SE 6th Ave","","$5,000","¤B-3","1973","COM/Lease","","Free Standing, Warehouse Space","Industrial","3,050","","","1"
"1","A11741277","C","3100","3212 SE 6th Ave","","$5,000","¤B-3","1973","COM/Lease","Commercial Lease","Free Standing, Office/Warehouse Combination","Office","3,050","No","","1"
"1","A11707682","C","3740","216 NE 33rd St Unit#232 F","","$4,949","","1975","COM/Lease","","Light Manufacturing, Office Space","Industrial","48,321","No","","1"
"1","A11725441","C","3260","2455 E Sunrise Blvd Unit#CU11A","","$4,500","¤B-1","1973","COM/Lease","Commercial Office","Office Space, Professional","Office","84,506","No","",""
"1","F10434310","C","3260","2720 E Oakland Park Boulevard Unit#103","","$4,500","CB","","COM/Lease","","Medical Office, Retail Space, School, Warehouse Space","Commercial","15,000","","","0"
"1","A11847955","C","3370","30 E OAKLAND PARK BOULEVARD Unit#30","","$4,500","","","COM/Lease","Commercial Lease","Retail Space, Shopping Center","Mixed Use","40,000","","",""
"1","A12024173","C","3800","423 SE 19th St","","$4,500","¤RO","1967","COM/Lease","","Medical Office, Office Space","Office","6,840","","",""
"1","F10435706","C","3380","1200 NE 7th Avenue Unit#1","","$4,200","B-3","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","1,276","","","1"
"1","A11687065","C","3150","2400 E Oakland Park Blvd Unit#201","","$4,000","¤B-1","1956","COM/Lease","","Medical Office, Retail Space","Special Purpose","3,599","","",""
"1","F10485213","C","3260","2400 E Oakland Park Boulevard","","$4,000","","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Commercial","","","",""
"1","R11145898","C","3380","921 NE 20th Avenue","","$3,800","B-1","1951","COM/Lease","","","Retail","","","",""
"1","A11759237","C","3800","215 SW 17th St","","$3,800","¤B-3","1960","COM/Lease","Commercial Office","Commercial/Residential Income, Office Space","Office","7,380","No","",""
"1","F10469645","C","3800","200 SE 19th Street","","$3,700","ROA","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Mixed Use","6,950","","",""
"1","A11964394","C","3370","1040 E Oakland Park Blvd Unit#1040-42","","$3,600","¤MR","1969","COM/Lease","","Retail Space","Retail","24,725","No","",""
"1","F10437573","C","3140","900 NE 20th Avenue","","$3,500","B-1","","COM/Lease","","Warehouse Space","Commercial","8,407","","",""
"1","R11098410","C","3130","2631 E Oakland Park Boulevard Unit#205","","$3,400","CB","1964","COM/Lease","","","","","","",""
"1","A11740333","C","3040","1212 NE 4th Ave","","$3,010","¤CB","1975","COM/Lease","","Retail Space, Strip Store","Retail","3,124","","",""
"1","F10516078","C","3560","2009 NW 21st Avenue","","$2,895","B-2","","COM/Lease","","","Commercial","8,916","","",""
"1","A11950349","C","3280","2215 S Federal Hwy Unit#2223","","$2,890","¤B-1","1975","COM/Sale","","Office Space, Retail Space","Retail","16,873","","",""
"1","A11767683","C","3370","20-22 East Oakland Park Boulevard","","$2,800","B-2","","COM/Lease","Mixed Use","Office Space, Retail Space","Mixed Use","40,000","No","",""
"1","F10451287","C","3380","2800 N Federal Highway","","$2,800","","","COM/Lease","","Warehouse Space","Commercial","","","",""
"1","F10509142","C","3380","1429 NE 4th Avenue","","$2,600","CB","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store","Retail","798","","",""
"1","A11573035","C","3010","831 N Federal Highway Unit#831E","","$2,500","","","COM/Lease","","Convenience Store, Retail Space","Retail","5,162","","",""
"1","A11767560","C","3130","down town Las olas","","$2,500","","","COM/Lease","","Office Space","Office","350","","",""
"1","F10554718","C","3370","2724 N Andrews Avenue Unit#2740","","$2,400","B-2","","COM/Lease","","Mall Enclosed, Shopping Center, Strip Store, Warehouse Space","Retail","21,268","","",""
"1","A11893223","C","3500","150 SE 12th St Unit#300","","$2,400","¤RO","1975","COM/Lease","","Medical Office, Office Space","Office","13,664","","",""
"1","A11832497","C","3500","150 SE 12th St Unit#300","","$2,349","¤RO","1975","COM/Lease","","Medical Office, Office Space","Office","13,664","","",""
"1","A12021715","C","3370","88 E OAKLAND PARK BLVD Unit#88","","$2,100","","","COM/Lease","Commercial Retail","Retail Space, Shopping Center","Retail","40,000","","",""
