submarket,asset_type,price_band,n,median_ppsf,median_price,median_sqft,share_pct
Area 3470,Industrial,< $1M,1,400.0,595000.0,1488.0,4.8
Area 3470,Industrial,$1–2.5M,2,217.0,2132000.0,10476.0,9.5
Area 3470,Industrial,$2.5–5M,2,303.0,2862000.0,10476.0,9.5
Area 3470,Mixed Use,$1–2.5M,1,109.0,1727000.0,15800.0,4.8
Area 3470,Multifamily,< $1M,1,134.0,950000.0,7070.0,4.8
Area 3470,Multifamily,$1–2.5M,7,137.0,1699000.0,13802.0,33.3
Area 3470,Multifamily,$2.5–5M,3,171.0,3000000.0,17500.0,14.3
Area 3470,Multifamily,$5–10M,1,204.0,7950000.0,39000.0,4.8
Area 3470,Retail,$2.5–5M,1,337.0,2650000.0,7875.0,4.8
Area 3480,Commercial (other),< $1M,1,157.0,990000.0,6325.0,16.7
Area 3480,Commercial (other),$2.5–5M,1,135.0,2900000.0,21450.0,16.7
Area 3480,Industrial,< $1M,1,425.0,850000.0,2000.0,16.7
Area 3480,Mixed Use,< $1M,1,115.0,849000.0,7380.0,16.7
Area 3480,Retail,< $1M,1,387.0,710000.0,1833.0,16.7
Area 3480,Retail,$5–10M,1,415.0,7000000.0,16875.0,16.7
Area 3490,Commercial (other),< $1M,1,61.0,375000.0,6120.0,25.0
Area 3490,Commercial (other),$1–2.5M,1,520.0,1180000.0,2268.0,25.0
Area 3490,Industrial,$5–10M,1,178.0,8700000.0,48992.0,25.0
Area 3490,Multifamily,$2.5–5M,1,318.0,3000000.0,9445.0,25.0
Area 3500,Commercial (other),< $1M,1,112.0,700000.0,6250.0,10.0
Area 3500,Commercial (other),$1–2.5M,3,240.0,1262000.0,5250.0,30.0
Area 3500,Commercial (other),$2.5–5M,1,275.0,3395000.0,12363.0,10.0
Area 3500,Industrial,$2.5–5M,3,163.0,3495000.0,20827.0,30.0
Area 3500,Mixed Use,$1–2.5M,1,174.0,1090000.0,6250.0,10.0
Area 3500,Multifamily,< $1M,1,150.0,954000.0,6375.0,10.0
Area 3560,Commercial (other),< $1M,1,105.0,192000.0,1837.0,10.0
Area 3560,Commercial (other),$1–2.5M,1,144.0,1200000.0,8333.0,10.0
Area 3560,Flex,$1–2.5M,1,345.0,2199000.0,6378.0,10.0
Area 3560,Mixed Use,< $1M,2,78.0,875000.0,11136.0,20.0
Area 3560,Mixed Use,$1–2.5M,1,345.0,2199000.0,6378.0,10.0
Area 3560,Mixed Use,$5–10M,2,310.0,8250000.0,26576.0,20.0
