mls,address,submarket,asset_type,status,sqft,lease_rate_psf,year_built,annual_rent_est
F10498745,910 SE 17th Street,Area 3170,Commercial (other),Active,90168.0,25.0,,2254200.0
F10453180,3015 N Ocean Boulevard Unit#C-126,Area 3160,Commercial (other),Rented,1938.0,25.0,,48400.0
F10409244,612 NW 9th Avenue Unit#A-E,Area 3460,Retail,Rented,20250.0,25.0,,506200.0
F10493993,915 NE 20th Unit#1,Area 3260,Retail,Active,10000.0,25.0,,250000.0
A12017741,2429 Davie Blvd Unit#Unit 1,Area 3150,Retail,Active,5947.0,25.0,1965.0,148700.0
A11910237,2901 SW 3rd Ave Unit#4,Area 3480,Industrial,Active,5170.0,24.75,2000.0,128000.0
F10502365,3015 N Ocean Boulevard,Area 3160,Commercial (other),Expired,104310.0,24.73,,2580000.0
A11727327,2010 NW 6th St,Area 3040,Restaurant,Sold,5200.0,24.52,,127500.0
A12032885,200 S Andrews Ave Unit#500,Area 3800,Office,Active,182000.0,24.0,1986.0,4368000.0
A11689903,79-199 E Oakland Park Blvd Unit#179-189,Area 3370,Retail,Sold,51631.0,24.0,1981.0,1239100.0
F10550164,1100 NE 5th Terrace,Area 3380,Commercial (other),Active,9538.0,23.0,,219400.0
F10424646,701 NW 5th Avenue Unit#1101,Area 3460,Mixed Use,Cancelled,60749.0,23.0,,1397200.0
F10423474,701 NW 5th Avenue Unit#1131,Area 3460,Mixed Use,Cancelled,60749.0,23.0,,1397200.0
F10494033,1100 NE 5th Terrace,Area 3380,Retail,Rented,9538.0,23.0,,219400.0
F10396947,522 NE 33rd Street Unit#541B,Area 3450,Commercial (other),Rented,47826.0,23.0,,1100000.0
A11974673,89-99 E Oakland Park Blvd Unit#89-99,Area 3370,Retail,Active,51631.0,23.0,1981.0,1187500.0
A11575411,2010 Wilton Dr,Area 3380,Restaurant,Expired,7960.0,22.61,2022.0,180000.0
A11769815,2010 Wilton Dr,Area 3380,Retail,Expired,7960.0,22.61,1962.0,180000.0
F10515307,511 NE 32nd Street Unit#541A,Area 3450,Commercial (other),Expired,47826.0,22.0,,1052200.0
F10470696,1160 NE 24th Court,Area 3370,Retail,Expired,6821.0,21.0,,143200.0
F10428945,2740 E Oakland Park Boulevard,Area 3260,Commercial (other),Expired,21745.0,21.0,,456600.0
A11854739,925 W Broward Blvd,Area 3560,Mixed Use,Expired,26576.0,20.32,1979.0,540000.0
F10500577,1717 N Andrews Avenue,Area 3390,Retail,Expired,84504.0,20.0,,1690100.0
A12001188,3038 N Federal Hwy Unit#C,Area 3360,Retail,Expired,1982.0,20.0,1960.0,39600.0
A11911232,809 NW 1st St,Area 3810,Industrial,Pending,14000.0,20.0,1958.0,280000.0
F10528201,709 NW 8th Avenue,Area 3380,Industrial,Expired,8531.0,20.0,,170600.0
A11814253,820 NW 10th Ter Unit#3,Area 3460,Industrial,Expired,13500.0,20.0,1958.0,270000.0
A11814233,820 NW 10th Ter Unit#4,Area 3460,Industrial,Expired,13500.0,20.0,1958.0,270000.0
F10487613,825 A/B NW A/b 8th Avenue,Area 3380,Commercial (other),Rented,10125.0,20.0,,202500.0
F10453622,1164 E Oakland Park Boulevard,Area 3370,Commercial (other),Rented,33050.0,20.0,,661000.0
F10487627,837 NW 8th Avenue,Area 3380,Industrial,Cancelled,10125.0,20.0,,202500.0
F10525613,3046 NE 12th Terrace,Area 3332,Mixed Use,Rented,5760.0,20.0,,115200.0
A11573726,141 NE 32nd St,Area 3450,Industrial,Expired,9500.0,20.0,1971.0,190000.0
A11752931,3212 SE 6th Ave,Area 3100,Industrial,Cancelled,3050.0,19.67,1973.0,60000.0
A11741277,3212 SE 6th Ave,Area 3100,Office,Cancelled,3050.0,19.67,1973.0,60000.0
A11646613,1851 SW 2nd Ave Unit#8,Area 3470,Industrial,Expired,1499.0,19.21,1999.0,28800.0
F10541766,3020 N Federal Highway Unit#12,Area 3260,Commercial (other),Rented,2000.0,19.2,,38400.0
A12013293,2406 E Oakland Park Blvd,Area 3090,Office,Active,2020.0,19.01,1956.0,38400.0
A11504856,216 NE 33rd St Unit#240 F,Area 3740,Industrial,Sold,3225.0,19.0,1975.0,61300.0
F10523098,500 NE 3rd Avenue,Area 3700,Commercial (other),Expired,17625.0,18.0,,317200.0
A11931699,1845 Cordova Rd Unit#203,Area 3280,Office,Cancelled,245865.0,18.0,2005.0,4425600.0
F10448201,701 NW 5th Avenue Unit#1061,Area 3460,Mixed Use,Cancelled,60749.0,18.0,,1093500.0
F10461277,851-863 NE 30th Court,Area 3560,Industrial,Rented,13688.0,18.0,,246400.0
A11958276,200 S Andrews Ave Unit#102,Area 3800,Retail,Active,1600.0,17.25,2007.0,27600.0
A11592964,3038 N Federal Hwy Unit#D,Area 3260,Office,Expired,2150.0,17.0,1960.0,36600.0
F10452752,3200A NE 33rd Street Unit#3200A,Area 3450,Commercial (other),Rented,47826.0,17.0,,813000.0
A11703885,3038 N Federal Hwy Unit#D,Area 3260,Office,Expired,2150.0,17.0,1960.0,36600.0
F10428941,2727 E Oakland Park Boulevard,Area 3250,Commercial (other),Expired,15005.0,17.0,,255100.0
A12009452,806 NW 8th Ave,Area 3280,Industrial,Active,13500.0,17.0,1983.0,229500.0
F10538016,2050 E Oakland Park Boulevard,Area 3360,Commercial (other),Active,23658.0,16.23,,384000.0
F10494021,540-550 W Sunrise Boulevard Unit#550,Area 3380,Mixed Use,Rented,38454.0,16.0,,615300.0
A11806810,3031 NE 12th Ter,Area 3332,Industrial,Expired,13011.0,16.0,1956.0,208200.0
A11977108,608 SW 16th Ave Unit#1-4,Area 3470,Multifamily,Cancelled,7000.0,15.43,1970.0,108000.0
F10556049,3038 N Federal Highway Unit#E - 2nd FL Office,Area 3260,Commercial (other),Active,1000.0,15.0,,15000.0
F10452759,3200B NE 32nd Street,Area 3450,Commercial (other),Rented,47826.0,15.0,,717400.0
F10453747,3038 N Federal Highway Unit#2nd Floor Office,Area 3260,Commercial (other),Expired,1000.0,15.0,,15000.0
F10504271,3038 N Federal Highway Unit#E - 2nd FL Office,Area 3260,Commercial (other),Expired,1000.0,15.0,,15000.0
A11614871,1255 N flagler,Area 3370,Flex,Sold,3000.0,14.4,,43200.0
F10551820,1130 Bayview Drive,Area 3260,Commercial (other),Active,17827.0,14.35,,255800.0
A12031126,1207 SW 1st Ave,Area 3800,Mixed Use,Active,6750.0,14.0,1956.0,94500.0
F10497691,1053 SE 17th Street,Area 3170,Commercial (other),Rented,2880.0,13.44,,38700.0
A11782064,1053 SE 17th St,Area 3170,Retail,Sold,2880.0,13.44,1968.0,38700.0
F10487369,3045 N Federal Highway Unit#96,Area 3370,Retail,Rented,1700.0,13.41,,22800.0
A11687065,2400 E Oakland Park Blvd Unit#201,Area 3150,Special Purpose,Cancelled,3599.0,13.34,1956.0,48000.0
A11701414,101 NE 3rd Ave Unit#1500,Area 3560,Office,Expired,37500.0,13.0,1987.0,487500.0
F10538206,1103 E Las Olas Boulevard,Area 3280,Commercial (other),Expired,10082.0,12.62,,127200.0
A11998591,709 SW 4th Ct Unit#1-7,Area 3470,Multifamily,Cancelled,14000.0,12.0,1941.0,168000.0
A11915657,1226 NW 23rd Ave,Area 3590,Industrial,Active,29889.0,12.0,1962.0,358700.0
A12014178,721 NE 3rd Ave Unit#A,Area 3700,Office,Active,9368.0,11.9,1987.0,111500.0
A11740333,1212 NE 4th Ave,Area 3040,Retail,Cancelled,3124.0,11.56,1975.0,36100.0
F10474545,1001 W Sunrise Boulevard,Area 3400,Commercial (other),Expired,23711.0,11.39,,270000.0
F10497367,124 NE 32nd Court,Area 3370,Industrial,Rented,4750.0,11.37,,54000.0
A11617243,728 NW 9th Ave,Area 3560,Industrial,Sold,10125.0,11.26,1954.0,114000.0
F10469748,401 NE 8th Street,Area 3700,Commercial (other),Expired,5715.0,11.08,,63300.0
F10550891,325 SW 26th Street,Area 3490,Commercial (other),Active,33723.0,10.68,,360000.0
F10527227,3000 N Federal Highway Unit#6-7,Area 3280,Commercial (other),Rented,1994.0,10.23,,20400.0
A11811326,1226 NW 23rd Ave,Area 3560,Industrial,Active,29889.0,10.16,1962.0,303600.0
F10524505,21 W Las Olas Boulevard,Area 3130,Office,Active,9034.0,9.96,,90000.0
A11979992,900 NW 6th St,Area 3460,Restaurant,Cancelled,12518.0,9.59,1955.0,120000.0
F10457185,1200 NE 7th Avenue,Area 3380,Mixed Use,Cancelled,1258.0,9.54,,12000.0
F10343857,2301 S Andrews Avenue,Area 3600,Retail,Expired,3921.0,9.18,,36000.0
F10554854,3020 N Federal Highway Unit#3-4,Area 3260,Commercial (other),Active,2000.0,9.0,,18000.0
A12015540,201 SW 1st Ave Unit#145,Area 3700,Restaurant,Active,3000.0,8.87,1972.0,26600.0
A11585935,1318 SE 2 AVENUE,Area 3800,Office,Cancelled,9360.0,8.72,1966.0,81600.0
F10484169,1160 NE 24th Court,Area 3370,Mixed Use,Rented,6821.0,8.71,,59400.0
A11432606,1301 N Dixie Hwy,Area 3370,Retail,Expired,10349.0,8.7,1960.0,90000.0
F10532951,1527 NE 4th Avenue,Area 3370,Commercial (other),Active,6255.0,8.62,,53900.0
F10461760,12 NE 12th Avenue,Area 3280,Commercial (other),Rented,9099.0,8.57,,78000.0
A11363745,330 SW 12th St,Area 3480,Office,Expired,14291.0,8.4,2001.0,120000.0
F10501655,900 S Andrews Avenue,Area 3500,Commercial (other),Rented,5613.0,8.23,,46200.0
A11950319,888 SE 3 ave,Area 3600,Office,Expired,3220.0,8.2,,26400.0
A11677495,350 SW 25th St,Area 3490,Restaurant,Cancelled,32680.0,8.08,1987.0,264000.0
