mls,address,submarket,asset_type,status,deal_kind,price,sqft,units,price_per_unit,ppsf,pred_ppsf,ppsf_gap_pct,age,year_built,waterfront,bays,zoning,noi,implied_cap,market_cap,assumed_value,income_gap_pct,price_band
F10439465,201 SE 2nd Street,Area 3700,Commercial (other),Sold,Sale,3200000.0,6997.0,,,457.0,230.0,98.6,62.0,1964.0,False,,RAC-CC,94823.0,0.0296,0.07,1354619.0,136.2,$2.5–5M
F10545299,525 Antioch Avenue,Area 3160,Multifamily,Sold,Sale,2700000.0,12500.0,,,216.0,84.0,156.1,67.0,1959.0,False,,NBRA,122670.0,0.0454,0.055,2230364.0,21.1,$2.5–5M
F10484556,723 NW 6th Avenue,Area 3450,Industrial,Sold,Sale,2575000.0,20250.0,,,127.0,145.0,-12.6,73.0,1953.0,False,7.0,I,196222.0,0.0762,0.0625,3139560.0,-18.0,$2.5–5M
F10479999,2901 Middle River Drive,Area 3260,Multifamily,Sold,Sale,2700000.0,22496.0,,,120.0,120.0,0.3,69.0,1957.0,False,,RMM-25,220767.0,0.0818,0.055,4013941.0,-32.7,$2.5–5M
F10530249,2300 NE 6th Avenue,Area 3370,Multifamily,Sold,Sale,2600000.0,13683.0,,,190.0,151.0,25.7,55.0,1971.0,False,,B-2 A&E Overlay,134279.0,0.0516,0.055,2441445.0,6.5,$2.5–5M
F10432211,16-20 NE 8th Avenue,Area 3270,Multifamily,Sold,Sale,2550000.0,12960.0,,,197.0,160.0,22.7,71.0,1955.0,False,,RMM-25,127184.0,0.0499,0.055,2312441.0,10.3,$2.5–5M
A11954137,1085 SE 17th St,Area 3600,Retail,Sold,Sale,675000.0,1200.0,,,562.0,533.0,5.6,64.0,1962.0,False,,B-1,19806.0,0.0293,0.0675,293419.0,130.0,< $1M
A11770215,217 SE 10th St,Area 3800,Mixed Use,Sold,Sale,600000.0,4633.0,,,130.0,182.0,-28.8,77.0,1949.0,False,,RAC-RPO,43365.0,0.0723,0.0675,642443.0,-6.6,< $1M
F10485692,1200 NE 7th Avenue Unit#6,Area 3370,Commercial (other),Sold,Sale,580000.0,1258.0,,,461.0,558.0,-17.4,20.0,2006.0,False,,,17048.0,0.0294,0.07,243549.0,138.1,< $1M
F10435691,1200 NE 7th Avenue Unit#1,Area 3380,Commercial (other),Sold,Sale,575000.0,1276.0,,,451.0,719.0,-37.3,19.0,2007.0,False,1.0,B-3,17292.0,0.0301,0.07,247034.0,132.8,< $1M
A11690352,1851 SW 2nd Ave Unit#8,Area 3470,Industrial,Sold,Sale,595000.0,1488.0,,,400.0,468.0,-14.5,27.0,1999.0,False,1.0,B-3,14419.0,0.0242,0.0625,230700.0,157.9,< $1M
A11782606,215 SW 17th St,Area 3800,Office,Sold,Sale,505000.0,7380.0,,,68.0,92.0,-25.6,66.0,1960.0,False,,B-3,117305.0,0.2323,0.08,1466314.0,-65.6,< $1M
A11923553,401 E Oakland Park Blvd,Area 3450,Mixed Use,Sold,Sale,500000.0,5268.0,,,95.0,192.0,-50.6,58.0,1968.0,False,,B-1,49308.0,0.0986,0.0675,730496.0,-31.6,< $1M
A11909736,828 NW 1st St,Area 3470,Industrial,Sold,Sale,2464500.0,13951.0,,,177.0,142.0,24.7,69.0,1957.0,False,8.0,B-3,135185.0,0.0549,0.0625,2162963.0,13.9,$1–2.5M
A11772256,2010 Wilton Dr,Area 3380,Restaurant,Sold,Sale,2150000.0,7960.0,,,270.0,200.0,35.2,64.0,1962.0,False,,A & E DI,189130.0,0.088,0.065,2909686.0,-26.1,$1–2.5M
F10483444,1215-1221 NE 17th Avenue,Area 3380,Multifamily,Sold,Sale,2051000.0,13512.0,,,152.0,197.0,-22.9,74.0,1952.0,False,,RC-15,132601.0,0.0647,0.055,2410934.0,-14.9,$1–2.5M
F10506173,1620 NE 12th Terrace Unit#1620-1630,Area 3360,Industrial,Sold,Sale,1575244.0,11736.0,11.0,143200.0,134.0,195.0,-31.0,67.0,1959.0,False,5.0,B-3,113722.0,0.0722,0.0625,1819549.0,-13.4,$1–2.5M
A11972748,1415 SW 1st Street Unit#1-8,Area 3470,Multifamily,Sold,Sale,1550000.0,13802.0,8.0,193800.0,112.0,124.0,-9.5,51.0,1975.0,False,,RML-25,135447.0,0.0874,0.055,2462678.0,-37.1,$1–2.5M
A11618230,2615 SW 2nd Ave,Area 3213,Industrial,Sold,Sale,1350000.0,10289.0,,,131.0,209.0,-37.1,74.0,1952.0,False,,I,99700.0,0.0739,0.0625,1595207.0,-15.4,$1–2.5M
F10455487,516 SW Flagler Avenue,Area 3500,Commercial (other),Sold,Sale,1262500.0,4250.0,,,297.0,272.0,9.4,23.0,2003.0,False,,,57596.0,0.0456,0.07,822800.0,53.4,$1–2.5M
F10455464,515 SW 1st Avenue,Area 3500,Commercial (other),Sold,Sale,1262500.0,5250.0,,,240.0,242.0,-0.8,36.0,1990.0,False,,,71148.0,0.0564,0.07,1016400.0,24.2,$1–2.5M
