mls,address,submarket,asset_type,status,price,sqft,ppsf,pred_ppsf,ppsf_gap_pct,assumed_value,income_gap_pct
F10468630,431 NW 1st Avenue,Area 3810,Commercial (other),Expired,5000000.0,15937.0,314.0,265.0,18.2,3085403.0,62.1
F10414807,1115 Tequesta Street,Area 3470,Multifamily,Cancelled,2999990.0,17500.0,171.0,147.0,16.3,3122509.0,-3.9
A11769839,2625 NE 13th Ct,Area 3260,Multifamily,Expired,3349000.0,13650.0,245.0,211.0,16.1,2435557.0,37.5
F10495101,2666 E Oakland Park Boulevard,Area 3250,Commercial (other),Expired,3600000.0,15000.0,240.0,208.0,15.5,2904000.0,24.0
F10405535,412 SE 13th Street,Area 3800,Commercial (other),Expired,1049000.0,1412.0,743.0,646.0,15.0,273363.0,283.7
F10499110,"1408, 1404 NE",Area 3370,Retail,Cancelled,3200000.0,32741.0,98.0,86.0,13.2,8005684.0,-60.0
A11823943,828 NW 1st St,Area 3470,Industrial,Cancelled,2975000.0,13951.0,213.0,192.0,11.1,2162963.0,37.5
A11812059,2600 N Andrews Ave,Area 3370,Office,Cancelled,1200000.0,8798.0,136.0,124.0,10.1,1748053.0,-31.4
F10458308,1545 Miami Road,Area 3600,Multifamily,Expired,5295000.0,20020.0,264.0,241.0,9.8,3572150.0,48.2
A11977975,1210 NE 8th Ave,Area 3560,Flex,Withdrawn,2198672.0,6378.0,345.0,328.0,5.2,1341202.0,63.9
F10526788,105 S Avenue Of The Arts,Area 3460,Commercial (other),Expired,1399000.0,6225.0,225.0,217.0,3.7,1205160.0,16.1
A11899504,423 SE 19th St,Area 3800,Office,Expired,899999.0,6840.0,132.0,130.0,1.4,1359022.0,-33.8
F10460691,3047 N Federal Highway,Area 3380,Commercial (other),Expired,1900000.0,3130.0,607.0,601.0,1.0,605968.0,213.5
F10496195,1900 E Oakland Park Boulevard,Area 3370,Retail,Expired,2050000.0,16728.0,123.0,123.0,-0.7,4090256.0,-49.9
A11889793,2625 NE 13th Ct,Area 3260,Multifamily,Expired,2850000.0,13650.0,209.0,211.0,-1.2,2435557.0,17.0
F10504783,2700 E Oakland Park Boulevard,Area 3260,Retail,Expired,1990000.0,15000.0,133.0,135.0,-1.7,3667733.0,-45.7
F10461720,2500 Wilton Drive,Area 3370,Commercial (other),Cancelled,1890000.0,5664.0,334.0,340.0,-1.8,1096550.0,72.4
F10530037,746 NE 3rd Ave & 8th Street,Area 3270,Commercial (other),Expired,3368750.0,19250.0,175.0,182.0,-3.8,3726800.0,-9.6
F10503686,2617 NE 13th Court,Area 3260,Commercial (other),Expired,2475000.0,10400.0,238.0,252.0,-5.7,2013440.0,22.9
A11957283,1601 NW 6th St,Area 3460,Mixed Use,Cancelled,775000.0,4463.0,174.0,186.0,-6.5,618869.0,25.2
A11890728,201 SW 21st St,Area 3500,Industrial,Withdrawn,3395000.0,20827.0,163.0,175.0,-6.8,3229018.0,5.1
F10453529,2801 SW 3rd Avenue,Area 3490,Commercial (other),Expired,1180000.0,2268.0,520.0,570.0,-8.7,439085.0,168.7
A11948494,709 SW 4th Ct Unit#1-7,Area 3470,Multifamily,Expired,2100000.0,14000.0,150.0,166.0,-9.9,2498007.0,-15.9
F10518967,2640+2648+2667 NE 32nd Street,Area 3250,Hotel,Expired,6000000.0,29865.0,201.0,224.0,-10.3,9345988.0,-35.8
F10463127,415 SE 12th Street,Area 3150,Commercial (other),Cancelled,2499000.0,11950.0,209.0,235.0,-10.9,2313520.0,8.0
