address,asset_type,submarket,status,last_ask,value,implied_cap,lease_psf,comp_ppsf,opener
2455 E Sunrise Boulevard Unit#Penthouse,Commercial (other),Area 3260,Expired,3520180.0,2852000.0,0.0477,26.5,230,"Hi, I saw 2455 E Sunrise Boulevard Unit#Penthouse came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $230/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
991 E Oakland Park Blvd,Office,Area 3720,Expired,3500000.0,1561000.0,0.0806,17.0,88,"Hi, I saw 991 E Oakland Park Blvd came off the market — I cover Oakland Park Blvd. Office around here is trading near $88/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
2120 S Federal Hwy,Retail,Area 3600,Cancelled,3495000.0,2576000.0,0.0574,28.0,212,"Hi, I saw 2120 S Federal Hwy came off the market — I cover SE 17th St · Federal Hwy. Retail around here is trading near $212/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
1730 W Sunrise Boulevard,Commercial (other),Area 3460,Expired,3400000.0,2684000.0,0.107,26.5,100,"Hi, I saw 1730 W Sunrise Boulevard came off the market — I cover Sunrise Blvd. Commercial around here is trading near $100/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
600 SW 4th Avenue,Commercial (other),Area 3500,Expired,3395000.0,2572000.0,0.0494,26.5,208,"Hi, I saw 600 SW 4th Avenue came off the market — I cover Andrews Ave. Commercial around here is trading near $208/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
201 SW 21st St,Industrial,Area 3500,Withdrawn,3395000.0,3645000.0,0.0594,19.4,175,"Hi, I saw 201 SW 21st St came off the market — I cover Andrews Ave. Industrial around here is trading near $175/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
746 NE 3rd Ave & 8th Street,Commercial (other),Area 3270,Expired,3368750.0,3504000.0,0.0774,26.5,182,"Hi, I saw 746 NE 3rd Ave & 8th Street came off the market — I cover Sunrise Blvd. Commercial around here is trading near $182/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2625 NE 13th Ct,Multifamily,Area 3260,Expired,3349000.0,2880000.0,0.04,15.4,211,"Hi, I saw 2625 NE 13th Ct came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Multifamily around here is trading near $211/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
15 SE 9th Avenue,Commercial (other),Area 3270,Cancelled,3250000.0,2258000.0,0.0313,26.5,301,"Hi, I saw 15 SE 9th Avenue came off the market — I cover Sunrise Blvd. Commercial around here is trading near $301/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
"1408, 1404 NE",Retail,Area 3370,Cancelled,3200000.0,2816000.0,,28.0,86,"Hi, I saw 1408, 1404 NE came off the market — I cover Dixie Hwy · Oakland Park Blvd. Retail around here is trading near $86/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
729 SW 2nd Ct,Multifamily,Area 3470,Expired,3000000.0,2128000.0,0.0376,15.4,185,"Hi, I saw 729 SW 2nd Ct came off the market — I cover Davie Blvd · Las Olas Blvd. Multifamily around here is trading near $185/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1115 Tequesta Street,Multifamily,Area 3470,Cancelled,2999990.0,2572000.0,0.0572,15.4,147,"Hi, I saw 1115 Tequesta Street came off the market — I cover Davie Blvd · Las Olas Blvd. Multifamily around here is trading near $147/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
828 NW 1st St,Industrial,Area 3470,Cancelled,2975000.0,2679000.0,0.0454,19.4,192,"Hi, I saw 828 NW 1st St came off the market — I cover Davie Blvd · Las Olas Blvd. Industrial around here is trading near $192/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
